design,block_length,execution_fill,execution_fill_p05,execution_fill_p95,data_limit_hit_fraction,data_limit_hit_fraction_p05,data_limit_hit_fraction_p95,rationed_data,rationed_data_p05,rationed_data_p95,execution_floor_bounded_fraction,execution_floor_bounded_fraction_p05,execution_floor_bounded_fraction_p95
E225_D45,400,0.9817557975644771,0.9461288994870017,0.9951206248912803,0.05334883432539683,0.050467261904761904,0.056317460317460315,1623332.887415485,1415287.5923728838,1878106.26555456,0.14614087301587303,0.06345634920634921,0.3326478174603173
E250_D60,400,0.9808327698018221,0.9501069117371043,0.9933130801145138,0.19171316964285712,0.18401289682539684,0.20068551587301586,7440367.436669977,6847382.953800554,8071452.979614804,0.182429935515873,0.09410813492063493,0.3674642857142856
E300_D80,400,0.7908220087593878,0.729919469727266,0.8304618937999715,0.5947823660714286,0.5652043650793651,0.6279345238095239,40604263.637287095,36718190.01222208,47779546.78787967,0.7814186507936508,0.7089980158730159,0.8616904761904762
E225_D45,800,0.9807647775528139,0.9451714923752909,0.9945057531827621,0.05230344742063492,0.048357142857142855,0.05672718253968254,1593353.3725619034,1373729.5902770704,1932156.470030592,0.15519531250000002,0.062452380952380954,0.326970238095238
E250_D60,800,0.9801960416779298,0.95487550602943,0.9938911875026973,0.19017361111111114,0.18127777777777776,0.20015674603174605,7305511.949698365,6570844.053865968,8396091.656826276,0.1833221726190476,0.09889285714285714,0.3446051587301587
E300_D80,800,0.792536394490721,0.7468184832277694,0.835201842753584,0.5946546378968254,0.5620119047619048,0.6208343253968254,40482495.0085893,34948395.083908804,45675358.51017693,0.7776940724206349,0.6899454365079365,0.8577063492063491
E225_D45,1600,0.9816407015833278,0.9505419183598987,0.9954462798575319,0.05243737599206349,0.04763194444444445,0.05838293650793651,1584687.428622662,1308630.2014995557,1981878.6271254807,0.15082155257936508,0.05846031746031746,0.32719841269841254
E250_D60,1600,0.9805295843774648,0.953983005661789,0.9962167088041196,0.190359623015873,0.1775793650793651,0.19878373015873016,7287217.144296366,6247564.495693479,8437390.127408203,0.18433159722222223,0.06845039682539682,0.35920138888888886
E300_D80,1600,0.7949093203056957,0.743841390219562,0.8374139380838387,0.588944072420635,0.5524166666666667,0.6194206349206349,39807550.12679347,33951558.9519089,45106899.78679988,0.7728261408730159,0.6922896825396825,0.8458809523809524
E225_D45,3200,0.9795543285698707,0.9398778055271735,0.99479268258219,0.05205853174603175,0.04625694444444445,0.05851488095238095,1573486.9840109828,1283868.8369318545,1965666.7873601343,0.15472408234126983,0.05701984126984127,0.3491874999999999
E250_D60,3200,0.9791186275801755,0.9525174931357357,0.9948148735181924,0.1926370287698413,0.1800327380952381,0.20863293650793652,7321950.513288419,6408684.182708167,8230906.370288444,0.18593129960317462,0.08106944444444444,0.3521150793650793
E300_D80,3200,0.7934895871798251,0.7457092160080414,0.8424304723591685,0.5918694196428571,0.5639107142857143,0.6233293650793651,40787365.66026004,34139122.284992725,48132697.050756276,0.7748542906746032,0.693311507936508,0.8550297619047619
