data_limit,data_target,target_ratio,headroom,supported_execution_target,data_limit_hit_fraction,data_limit_hit_ci95,longest_data_limit_run,rationed_data,included_execution,execution_fill,data_fee_sd
90000000.0,22500000.0,0.25,67500000.0,152200000.0,0.0014248511904761904,0.0001497169017871886,2.46875,96562.45130760838,148598125.93538523,0.9763345987870251,0.029547669777658235
90000000.0,29970000.0,0.333,60030000.0,182080000.0,0.006296502976190476,0.0002986326635732017,3.59375,248720.8485386679,177514183.94339254,0.9749241209544846,0.0390372467159195
90000000.0,36000000.0,0.4,54000000.0,202280000.0,0.016472594246031744,0.0005449055349677301,5.1875,537309.9561345842,197357996.2893283,0.9756673733899955,0.045937362385330846
90000000.0,45000000.0,0.5,45000000.0,232400000.0,0.05157986111111111,0.0012174883568719982,8.3125,1548813.2385178832,225506818.7973473,0.9703391514515805,0.0546214237606283
90000000.0,52470000.0,0.583,37530000.0,251622800.0,0.10815352182539684,0.0020255471316143765,10.96875,3454357.5075037545,243260399.48517948,0.9667661256657961,0.0612683191296009
90000000.0,60030000.0,0.667,29970000.0,271052800.0,0.19208085317460316,0.0035136770583542843,14.4375,7212786.423989354,257609663.59276026,0.9504039935863429,0.07194167615774973
90000000.0,67500000.0,0.75,22500000.0,284200000.0,0.30336061507936507,0.003920782536979698,19.21875,14182521.077903556,261956046.9803866,0.921731340536195,0.09461924351831985
90000000.0,76950000.0,0.855,13050000.0,299363000.0,0.512398933531746,0.004860441285196625,34.59375,31689793.757133603,248669361.37121665,0.8306616427922511,0.12495884864970519
90000000.0,80000000.0,0.8888888888888888,10000000.0,302433333.3333333,0.5918650793650794,0.007141629374412086,39.28125,40786700.985370934,238216354.8339461,0.7876656723265054,0.12103812437740466
90000000.0,84960000.0,0.944,5040000.0,307426400.0,0.691749751984127,0.014911439265629739,69.125,58412976.89697559,218300834.7907994,0.7100913740355396,0.06502506070395184
