mechanism,design,is_central,gas_limit,gas_target,included_execution,state_gas,shared_fee_wei,fee_sd,limit_hit_fraction,rationed,regular_binding_fraction,cost_execution_heavy,cost_data_heavy,cost_state_creating,cost_mixed
glamsterdam,G100M,False,100000000.0,50000000.0,44579091.407135785,30537609.08764892,28306596.794613097,0.05255934644291463,0.03350818452380952,17895.961661731977,0.8495727926587302,8817989726950.182,7314200584908.307,10054240979256.521,7939608302779.266
glamsterdam,G150M,False,150000000.0,75000000.0,58722773.220772356,62945728.55579009,3380370.9929513885,0.05589242628191429,0.04704861111111111,64607.53381733041,0.5985298859126984,1053043462109.1,873461111317.9585,1200676464536.699,948147239205.3365
glamsterdam,G200M,True,200000000.0,100000000.0,68086655.14541084,93591890.13452137,1100833.0457099455,0.05824411336914703,0.06211061507936508,126527.92307979705,0.35920386904761903,342928348419.6483,284446546691.56,391005700890.2961,308768420771.6477
glamsterdam,G300M,False,300000000.0,150000000.0,80591572.81845027,148505090.5711217,285928.5137078373,0.06020689823656739,0.07595238095238097,225491.98147925414,0.13445498511904763,89071629302.94977,73881665018.87009,101559159531.54558,80198987462.4598
glamsterdam,G450M,False,450000000.0,225000000.0,93876513.65651135,226344467.57040858,81251.07432973711,0.061092111311133596,0.08146391369047619,330573.1018765862,0.0520076884920635,25311101293.52024,20994634561.654106,28859628978.433907,22789800873.585854
glamsterdam,G600M,False,600000000.0,300000000.0,104332446.683294,303099755.95023924,33906.30134610615,0.061404586355780374,0.08332713293650794,415585.4394075601,0.029373759920634922,10562393604.50917,8761119923.288067,12043204166.242851,9510247863.32884
eip7999,E200_D36,False,,,195752020.37130865,74997323.28535962,,0.04597863196406274,0.01658110119047619,541151.8375593718,,30172372.597019717,553794938.4958067,774698358625.3972,193790043598.34628
eip7999,E225_D45,True,,,220399723.9282209,74997276.09716213,,0.05473026781677641,0.05205853174603175,1573486.9840109828,,10867406.476461954,176299733.5934219,757724353305.5051,189468427693.31372
eip7999,E250_D60,False,,,244779656.8950439,74997145.9322489,,0.07259598751113747,0.1926370287698413,7321950.513288419,,2890071.1936642244,26021254.31236628,673268436581.2913,168323216220.39096
eip7999,E300_D80,False,,,238046876.1539475,74997171.27658945,,0.12091538358473645,0.5918694196428571,40787365.66026004,,340821.47839585645,969247.3003248418,424371912405.0094,106093313620.0722
