floor_rate,date,block_number,charged_static_floor_gas,charged_regular_gas_8279,incremental_data_gas_8279
96,2026-02-01,24358339,24094925.600177385,25194002.634901162,1099077.0347237804
96,2026-02-01,24359049,38227974.90925428,38658918.229974076,430943.3207197974
96,2026-02-01,24359168,45468741.705171876,45687623.33112821,218881.62595633688
96,2026-02-01,24359237,38118355.707512,38623653.15619514,505297.44868314377
96,2026-02-01,24359292,44200782.97758611,44463172.407994896,262389.4304087801
96,2026-02-01,24359376,35543741.393490225,36391087.9641709,847346.5706806749
96,2026-02-01,24359431,39415898.34489177,40010011.26389908,594112.9190073082
96,2026-02-01,24359513,24995102.502136063,25118916.693225294,123814.19108923269
96,2026-02-01,24359708,48312223.508559205,48721546.79751333,409323.2889541219
96,2026-02-01,24360149,49582785.54013454,50117365.85602488,534580.3158903458
96,2026-02-01,24360293,60458226.340627514,63250755.51220796,2792529.1715804525
96,2026-02-01,24360513,17858683.554157715,18191464.705979925,332781.15182220977
96,2026-02-01,24360618,50627419.26169362,51478872.73692518,851453.4752315583
96,2026-02-01,24361231,30982124.197656393,31451365.62178156,469241.4241251678
96,2026-02-01,24361240,30669993.07155474,31121272.63296201,451279.5614072717
96,2026-02-01,24361368,27919498.85591293,28365922.12126412,446423.2653511892
96,2026-02-01,24361485,29387474.36965131,29815106.45293723,427632.08328592294
96,2026-02-01,24361696,25983482.372198742,26288816.76759856,305334.3953998161
96,2026-02-01,24361707,25470956.188037764,26201236.10786048,730279.9198227151
96,2026-02-01,24361718,46031992.52566379,46794977.58962905,762985.063965247
96,2026-02-01,24361905,28413857.005275887,28739343.94074248,325486.93546659686
96,2026-02-01,24362053,65305079.838638075,66556934.89297127,1251855.0543331928
96,2026-02-01,24362061,40910298.40827096,41866726.10609195,956427.69782098
96,2026-02-01,24362129,18881240.452553194,19123562.12760537,242321.67505217792
96,2026-02-01,24362244,52602142.93964799,53236508.08078033,634365.1411323401
96,2026-02-01,24362542,40405277.47329639,41761433.43219768,1356155.9589012922
96,2026-02-01,24362603,34891555.67581079,35640916.922793865,749361.2469830778
96,2026-02-01,24362635,27132246.567128386,28373480.963632245,1241234.3965038615
96,2026-02-01,24362738,23390158.85307844,23787911.19409081,397752.3410123706
96,2026-02-01,24362825,4918489.90279422,4928456.151148579,9966.248354359355
96,2026-02-01,24363203,45049677.198552705,46074486.63492149,1024809.4363687849
96,2026-02-01,24363373,33073977.265053887,34553608.92034208,1479631.6552881966
96,2026-02-01,24363477,52869990.54007051,53454166.5173503,584175.9772797892
96,2026-02-01,24363559,49534415.11362315,50035360.39522252,500945.2815993673
96,2026-02-01,24363574,64574108.4791477,65623753.133052334,1049644.6539046338
96,2026-02-01,24363730,46570662.81090528,47432210.96827366,861548.1573683831
96,2026-02-01,24363763,60176680.00605969,60906136.47557614,729456.4695164434
96,2026-02-01,24363850,48911000.196097925,49623842.94432997,712842.7482320493
96,2026-02-01,24363863,50665386.02138097,52138120.84770794,1472734.8263269744
96,2026-02-01,24363923,8956551.472857805,9251735.2992036,295183.82634579594
96,2026-02-01,24364102,31570986.81429966,32720102.211045712,1149115.3967460517
