floor_rate,floor_class,transactions,transaction_share,runtime_bal_bytes,runtime_bal_byte_share,incremental_bal_floor_gas,incremental_bal_floor_gas_share
40,already floor-bound under static EIP-8131,8735,0.004597978258168978,4576647.0,0.006359407219236489,183210720.0,0.6635908478244484
40,within 10% of static floor,868,0.0004569027049903461,408610.0,0.0005677775419105345,8814625.046901174,0.03192664986048725
40,newly floor-bound primarily because of deployed code,373,0.0001963418306006902,4920178.0,0.006836755269333325,83265553.67571,0.30158857166347314
40,newly floor-bound through other non-code BAL,137,7.211482786137951e-05,88516.0,0.00012299600327880588,798984.9770326208,0.0028939306515910986
40,unaffected,1889635,0.9946766623783786,709671710.0,0.9861130639662409,0.0,0.0
50,already floor-bound under static EIP-8131,11190,0.005890254918020706,6167513.0,0.008569969826585904,309829150.0,0.6282982655851546
50,within 10% of static floor,2361,0.0012427964129979345,1218620.0,0.0016933140846357542,39021782.323771104,0.07913173487409698
50,newly floor-bound primarily because of deployed code,441,0.00023213605172896616,5491825.0,0.007631078287616115,134071729.2447473,0.27188221298246845
50,newly floor-bound through other non-code BAL,1858,0.0009780244537696578,1078338.0,0.0014983874574501896,10201650.515084397,0.02068778655828035
50,unaffected,1883898,0.9916567881634827,705709365.0,0.980607250343712,0.0,0.0
64,already floor-bound under static EIP-8131,19906,0.01047823184969796,10515302.0,0.014611371043310069,697185152.0,0.5353147078062167
64,within 10% of static floor,9135,0.004808532500100013,5979452.0,0.008308652648080148,279808017.94252425,0.2148429967807734
64,newly floor-bound primarily because of deployed code,452,0.00023792629338206963,5654550.0,0.00785719022933901,208240021.47715455,0.15989145197774274
64,newly floor-bound through other non-code BAL,9385,0.00494012890130691,10124783.0,0.014068731563391907,117150512.65814653,0.0899508434352661
64,unaffected,1860870,0.979535180455513,687391574.0,0.9551540545158789,0.0,0.0
65,already floor-bound under static EIP-8131,21008,0.011058308786217962,11304188.0,0.015707555067018823,763016020.0,0.5405043966334191
65,within 10% of static floor,8858,0.004662723687562771,6245342.0,0.008678115878589906,297257576.977875,0.21057097502243588
65,newly floor-bound primarily because of deployed code,451,0.00023739990777724203,5637367.0,0.007833313864339013,213249864.00174844,0.15106168947071874
65,newly floor-bound through other non-code BAL,10634,0.005597584521736567,12729014.0,0.017687399426995865,138150569.33819583,0.09786293887342609
65,unaffected,1858797,0.9784439830967054,683749750.0,0.9500936157630564,0.0,0.0
66,already floor-bound under static EIP-8131,22020,0.01159101101830348,11982134.0,0.01664958417405996,821976540.0,0.5370845615916582
66,within 10% of static floor,8816,0.004640615492160013,6705485.0,0.009317500282954309,328063648.04177564,0.21435881927077519
66,newly floor-bound primarily because of deployed code,452,0.00023792629338206963,5643147.0,0.007841345371625284,219132741.758663,0.1431826905155098
66,newly floor-bound through other non-code BAL,11491,0.00604869698507381,14871123.0,0.020663932998187057,161268640.82311535,0.10537392862205713
66,unaffected,1856969,0.9774817502110806,680463772.0,0.9455276371731733,0.0,0.0
67,already floor-bound under static EIP-8131,22824,0.01201422504458486,12736184.0,0.01769736238672641,888639023.0,0.5361452983656291
67,within 10% of static floor,9011,0.004743260685101392,7165984.0,0.009957379361469908,355841802.68562996,0.21469112264255175
67,newly floor-bound primarily because of deployed code,455,0.0002395054501965524,5657891.0,0.007861832662875936,225034140.40553162,0.1357705358727833
67,newly floor-bound through other non-code BAL,12982,0.006833537921871743,16637236.0,0.02311800729366744,187944356.426267,0.11339304311903603
67,unaffected,1854476,0.9761694708982455,677468366.0,0.9413654182952603,0.0,0.0
68,already floor-bound under static EIP-8131,23832,0.012544821734251069,13564841.0,0.018848809572421715,961132876.0,0.5364048249194568
68,within 10% of static floor,8953,0.004712730320021392,7492814.0,0.010411520802018648,379436858.84784055,0.21176235557076561
68,newly floor-bound primarily because of deployed code,460,0.00024213737822069032,5661189.0,0.00786641534644516,230935554.67144197,0.12888430815804547
68,newly floor-bound through other non-code BAL,13876,0.0073041266525876065,18743657.0,0.026044951170735377,220299763.95747942,0.12294851135173263
68,unaffected,1852627,0.9751961839149192,674203160.0,0.9368283031083791,0.0,0.0
69,already floor-bound under static EIP-8131,24769,0.01303804504597452,14192497.0,0.01972095900793577,1022467461.0,0.5281143098114219
69,within 10% of static floor,8942,0.004706940078368289,8219880.0,0.011421803825651757,424401836.92948526,0.2192076440002375
69,newly floor-bound primarily because of deployed code,465,0.00024476930624482826,5664684.0,0.007871271768238501,236853602.79320112,0.12233717133955824
69,newly floor-bound through other non-code BAL,14663,0.007718392123586918,19687879.0,0.027356979868461445,252349351.06897694,0.13034087484878207
69,unaffected,1850909,0.9742918534458255,671900721.0,0.9336289855297125,0.0,0.0
70,already floor-bound under static EIP-8131,26068,0.013721819946645555,14988203.0,0.02082661965442867,1097811890.0,0.5262025804783873
70,within 10% of static floor,8571,0.004511651018977254,8857000.0,0.01230710381219648,465615173.75434613,0.22317840439807007
70,newly floor-bound primarily because of deployed code,471,0.0002479276198737938,5674331.0,0.00788467660401543,242759816.82881373,0.11635949948745994
70,newly floor-bound through other non-code BAL,15760,0.00829583713208278,20012744.0,0.02780839087443968,280104465.61651915,0.13425951563608235
70,unaffected,1848878,0.9732227642824206,670133383.0,0.9311732090549197,0.0,0.0
71,already floor-bound under static EIP-8131,27063,0.014245573623449005,15865078.0,0.022045067396928363,1181242478.0,0.5277933797209181
71,within 10% of static floor,8599,0.004526389815912427,9502014.0,0.013203372781183734,508444313.755406,0.22717904897155977
71,newly floor-bound primarily because of deployed code,469,0.0002468748486641386,5590609.0,0.007768342027368178,243252609.40614313,0.10868819843134753
