propagation_time_s,shared_limit,shared_target,replication,included_execution,included_data,included_state,included_regular_metered,shared_gas_used,shared_fee_wei,shared_fee_log_return_sd,shared_limit_hit_fraction,shared_near_limit_fraction,shared_fee_floor_bounded_fraction,shared_target_deviation,shared_rationed_gas,regular_binding_fraction,runtime_bal_bytes,runtime_bal_floor_gas,base_fee_burn_eth_per_block,base_fee_exposure_proxy_eth_per_block,equilibrium_log_rmse
3.0,50000000.0,25000000.0,0,16302270.551323975,381123.55251125473,1106114.3708922574,25141867.20682455,25246546.0277885,2793031301.3864274,0.04945573456645363,0.02384920634920635,0.02882936507936508,0.0,0.30735647656760856,81681.41522500226,0.9901984126984127,75534.61297728977,7251322.845819818,0.06982705719710881,0.08535158468365835,0.9030096455496234
3.0,50000000.0,25000000.0,1,16124949.577131147,451837.4752453636,1033254.7367075027,25170271.522276506,25269811.605391346,3692063551.1315656,0.05155151184255423,0.026686507936507935,0.03263888888888889,0.0,0.32366767994387874,91812.59652864511,0.9912301587301587,74210.97567598148,7124253.664894221,0.09230353325148545,0.11202076454061696,0.8472850650525439
3.0,50000000.0,25000000.0,2,16427610.694025027,356024.0229651351,934410.1659890391,25222139.154003065,25260665.60803208,3606497074.1651154,0.051191767349334026,0.02751984126984127,0.03390873015873016,0.0,0.3202606934026951,82334.58236785753,0.9935912698412699,75035.10271694868,7203369.860827073,0.09016081494985204,0.10772019640437334,0.9060579375302285
3.0,50000000.0,25000000.0,3,16146110.113157492,408775.8918330422,1033501.3370109325,25027263.158909515,25249289.085510008,5124390550.509603,0.04984785082000264,0.025654761904761906,0.03130952380952381,0.0,0.3089640998623158,97433.64222105466,0.9825,74617.70077431509,7163299.274334248,0.1281094640779469,0.1561864050390268,1.0274837351470172
3.0,50000000.0,25000000.0,4,16129406.531176062,419188.55991962744,1428097.6172101698,25045066.689248674,25265931.46751805,2009700537.980448,0.0517697933105658,0.025654761904761906,0.03190476190476191,0.0,0.3261326747892181,103594.56142750403,0.9686507936507937,75036.29073908788,7203483.910952437,0.0502411853256278,0.06319736913040448,1.2465539574101652
3.0,50000000.0,25000000.0,5,16288282.001589615,406554.0106785665,944210.6254209584,25224161.937691394,25274371.24111477,4644249781.831827,0.052066262011336954,0.03156746031746032,0.03755952380952381,0.0,0.32811806411275035,118297.24213054564,0.9925396825396825,74516.0506977295,7153540.866982032,0.11610674681684156,0.13794483897572002,1.1258856433049174
3.0,50000000.0,25000000.0,6,16086736.597400144,424949.0424516663,1075382.3141950334,25006511.928308956,25265851.799782343,3112013828.255028,0.05135588779691411,0.029523809523809525,0.03446428571428571,0.0,0.32223125042730855,128338.79129796945,0.9769642857142857,74489.30357186409,7150973.142898953,0.07780101455496119,0.09114714995310114,1.1325475357669648
3.0,50000000.0,25000000.0,7,15896075.528295353,544247.158214609,1018650.9890372354,25211518.44700793,25243444.15209283,2023780158.074207,0.04909774091292618,0.021904761904761906,0.027003968253968252,0.0,0.3044882236738389,67944.9295228861,0.9949404761904762,73308.51296082222,7037617.244238934,0.05059644499751212,0.06095666720356048,0.8160548933574899
3.0,50000000.0,25000000.0,8,16253182.107283946,409629.4990930234,978799.8670346803,25185740.893196426,25248888.57640315,5200825916.03859,0.0493547754784585,0.02117063492063492,0.025952380952380952,0.0,0.3070886712595487,67190.01477513269,0.9929365079365079,75189.59725378783,7218201.336363631,0.1300228156201546,0.15589637179907304,1.0843217997765382
3.0,50000000.0,25000000.0,9,16058074.978203828,440465.8407715406,903557.5981853433,25027583.396699175,25257956.81863852,11623881814.296734,0.05017627812873537,0.02505952380952381,0.030972222222222224,0.0,0.31295427142128174,91224.04865846231,0.9813690476190476,73860.99700232683,7090655.712223375,0.29060264086962445,0.3311395053881861,1.4760176938404428
