mechanism,workload,propagation_time_s,execution_time_s,floor_rate,balanced_floor_rate,safe_payload_bytes,execution_capacity_gas,payload_capacity_gas,safe_common_limit,physical_binding_constraint,shared_limit,shared_target,target_limit_ratio,n_replications,burn_in_blocks,measured_blocks,daily_block_length,equilibrium_fee_wei,equilibrium_floor_bounded,equilibrium_binding_branch,equilibrium_regular_gas,equilibrium_state_gas,equilibrium_execution_gas,equilibrium_data_gas,m_execution,m_data,m_state,included_execution,included_execution_p05,included_execution_p95,included_data,included_data_p05,included_data_p95,included_state,included_state_p05,included_state_p95,included_execution_metered,included_execution_metered_p05,included_execution_metered_p95,included_data_metered,included_data_metered_p05,included_data_metered_p95,included_state_metered,included_state_metered_p05,included_state_metered_p95,included_regular_metered,included_regular_metered_p05,included_regular_metered_p95,shared_gas_used,shared_gas_used_p05,shared_gas_used_p95,shared_target_utilisation,shared_target_utilisation_p05,shared_target_utilisation_p95,shared_fee_wei,shared_fee_wei_p05,shared_fee_wei_p95,shared_fee_log_return_sd,shared_fee_log_return_sd_p05,shared_fee_log_return_sd_p95,shared_limit_hit_fraction,shared_limit_hit_fraction_p05,shared_limit_hit_fraction_p95,shared_near_limit_fraction,shared_near_limit_fraction_p05,shared_near_limit_fraction_p95,shared_fee_floor_bounded_fraction,shared_fee_floor_bounded_fraction_p05,shared_fee_floor_bounded_fraction_p95,shared_target_deviation,shared_target_deviation_p05,shared_target_deviation_p95,shared_rationed_gas,shared_rationed_gas_p05,shared_rationed_gas_p95,regular_binding_fraction,regular_binding_fraction_p05,regular_binding_fraction_p95,runtime_bal_bytes,runtime_bal_bytes_p05,runtime_bal_bytes_p95,runtime_bal_floor_gas,runtime_bal_floor_gas_p05,runtime_bal_floor_gas_p95,base_fee_burn_eth_per_block,base_fee_burn_eth_per_block_p05,base_fee_burn_eth_per_block_p95,base_fee_exposure_proxy_eth_per_block,base_fee_exposure_proxy_eth_per_block_p05,base_fee_exposure_proxy_eth_per_block_p95,equilibrium_log_rmse,equilibrium_log_rmse_p05,equilibrium_log_rmse_p95
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,50000000.0,25000000.0,0.5,32,7200,50400,8,2006587788.0675867,False,regular,24999999.999999605,6220249.454845206,23236024.52470252,1763975.4752970845,1.4479558695732846,4.032547620151323,5.656315259465248,16143654.336157069,15943806.145322906,16315053.475659708,432603.83118840575,386101.3749431179,509271.3263986248,1121306.0497906962,920526.510477376,1395535.888696757,23375299.052400835,23085927.6914587,23623477.44248362,1744495.5499271494,1556972.1806640201,2053660.875280083,6342460.519961832,5206788.147955478,7893590.942366912,25119794.602328025,24974946.920738347,25221757.84099637,25262297.193620265,25241581.47456305,25291305.639330525,1.0104918877448106,1.009663258982522,1.011652225573221,3748223785.7766614,1791986388.002532,8421717208.724941,0.05100530986377387,0.04898501141449643,0.05320981284309721,0.027203621031746034,0.021574404761904763,0.03306448412698413,0.03311321924603175,0.026530753968253967,0.04046924603174603,0.0,0.0,0.0,0.31861629100881056,0.3029153259810649,0.3357612293071696,105489.14272523855,67605.21788639706,139101.81730313276,0.9836458333333333,0.9649186507936508,0.9941984126984127,74509.80942685711,73407.82855743474,75428.22007172185,7152941.704978283,7047151.541513735,7241109.126885298,0.0937057269533403,0.04479497151354974,0.21054072221242426,0.11234588121398836,0.055237045528867545,0.24554579425700995,1.055975950392684,0.8001907148446676,1.4164294358643978
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,75000000.0,37500000.0,0.5,32,7200,50400,8,88961794.74952982,False,regular,37499999.999999434,17658916.77992371,33893947.85903833,3606052.140961105,1.4479558695732846,4.032547620151323,5.656315259465248,23174515.471841834,22644689.825870566,23571511.870393783,855612.8113685556,769451.8816875236,1009811.9420907076,2939892.6028557476,2472443.981734126,3527536.3350206474,33555675.70197023,32788511.548035797,34130508.96745283,3450299.4062552536,3102851.3543199827,4072114.7438782714,16628959.390721984,13984922.622055832,19952857.600095265,37005975.10822551,36309417.31075427,37451126.70403038,37901472.65774746,37869234.122837655,37944486.76410536,1.0107059375399323,1.0098462432756707,1.0118529803761427,185390806.14861077,89049861.80694078,394618411.92073154,0.05155698532189783,0.049410090272320434,0.05396631651454169,0.029382440476190475,0.02390079365079365,0.03596428571428571,0.03533048115079365,0.029048611111111112,0.04220833333333333,0.0,0.0,0.0,0.32259349329518383,0.3062222093467761,0.3410387786509109,285296.54937640775,155880.42783749764,449115.9558598195,0.9351500496031746,0.8918511904761905,0.9650972222222223,110434.72489800633,108576.75619358258,112535.45582106322,10601733.590208607,10423368.594583927,10803403.758822069,0.0069521522562457465,0.0033389052273973584,0.014798095467219205,0.009476669173502922,0.004834011210103046,0.01943500245075106,1.0210638147744446,0.7696620390755623,1.4219901771849919
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,100000000.0,50000000.0,0.5,32,7200,50400,8,10187467.497035936,False,regular,49999999.99999921,36485227.67286612,44070740.95137499,5929259.048624221,1.4479558695732846,4.032547620151323,5.656315259465248,29217637.506430306,28263299.164659336,30000325.259248465,1328108.6908754515,1199760.624057472,1574649.2643597596,5405489.474376495,4674326.717624921,6204724.453165885,42305849.72250043,40924009.91897429,43439147.04823696,5355661.54069211,4838091.849294238,6349848.143567034,30575152.598794788,26439465.540628143,35095877.605219744,47661511.263192505,46087547.42076175,48844146.762285754,50557553.937224306,50510789.1305058,50614964.59753707,1.0111510787444864,1.0102157826101161,1.0122992919507414,28029038.779387858,14555268.27074911,55208843.41843755,0.05267230145742006,0.05044370403991621,0.05513935482734216,0.0328844246031746,0.025785714285714287,0.04119543650793651,0.03879898313492064,0.03199702380952381,0.04828670634920635,0.0,0.0,0.0,0.3321753944677508,0.31431578663199744,0.3516156329122203,752711.7202995367,418955.8833427367,1203405.93634145,0.8487568204365079,0.7734742063492064,0.9081001984126984,143658.6067449118,140372.8662325672,147380.768791377,13791226.247511532,13475795.158326453,14148553.803972192,0.0014014420781184181,0.0007276974488199244,0.0027602912985022626,0.00209551151323528,0.001118119780058951,0.003993834453206703,1.0579029227682615,0.7612189729647181,1.517788606896531
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,125000000.0,62500000.0,0.5,32,7200,50400,8,2041657.8574558252,False,state,62120584.112113014,62500000.00000275,53546380.709798254,8574203.402314762,1.4479558695732846,4.032547620151323,5.656315259465248,34205920.540318206,32585307.34968481,35619337.99225557,1796251.7318589115,1609637.063023591,2140954.2039418034,8172811.590380353,7283849.86084538,9024026.189047985,49528663.42051111,47182087.038825795,51575229.516200356,7243470.646500343,6490938.107803112,8633499.779958546,46227998.91140327,41199751.11555381,51042737.03492697,56772134.06701143,53940061.29174919,58931956.28881035,63238664.736406535,63181157.3381103,63311438.15840976,1.0118186357825045,1.0108985174097647,1.012983010534556,8142847.228716106,4167081.133593811,16928061.19075352,0.05425503200768532,0.0520534867965658,0.05679902668338335,0.038931051587301584,0.03100297619047619,0.04831150793650794,0.044430183531746034,0.03637103174603175,0.0530515873015873,0.0,0.0,0.0,0.34569818722570866,0.3277860288565471,0.3684757741125858,1554326.0822460335,938758.5411847373,2315536.3911506524,0.7369370039682539,0.6330277777777777,0.820750992063492,172980.88320705754,167560.83263499915,177953.0508670978,16606164.787877522,16085839.93295992,17083492.88324139,0.0005089210272898731,0.0002604161146760163,0.0010580082249207704,0.000792875926471459,0.00042183995750330193,0.0016093778439823516,1.19940492564923,0.8736968475758777,1.647232926488058
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,150000000.0,75000000.0,0.5,32,7200,50400,8,1184472.6608413283,False,state,66913082.369939044,75000000.00000046,57197805.08629793,9715277.283641119,1.4479558695732846,4.032547620151323,5.656315259465248,38270230.965855315,36000033.72577044,40268592.90708447,2232376.9843558795,1992900.5393037507,2669650.621008241,10993166.232060764,10067632.739284202,11781846.73499479,55413605.556935444,52126460.13806597,58307145.45927045,9002166.495544877,8036466.326967574,10765493.258382207,62180813.90824072,56945704.68990331,66641839.471827656,64415772.05248034,60334241.42311254,67671557.63977526,75938458.20883408,75868734.42987536,76029562.37796791,1.0125127761177877,1.0115831257316714,1.0137274983729054,3468671.9868212296,1717859.2501083668,6755735.270679415,0.055833729236962226,0.05375742149989054,0.05844740543970648,0.04663628472222223,0.03790277777777778,0.05708730158730158,0.05165302579365079,0.0430406746031746,0.06218452380952381,0.0,0.0,0.0,0.35903183157360163,0.34116023945358653,0.3826113974843235,2621912.0595017513,1750630.453938185,3684701.746315218,0.6123040674603174,0.49433432539682537,0.711531746031746,198342.09890050854,189901.3702948975,204630.63090073023,19040841.49444882,18230531.548310157,19644540.5664701,0.00026014562116395625,0.0001288370978131935,0.0005066799593260006,0.0004077733830787349,0.0002087729109008568,0.0007833493031089578,1.069632905247846,0.8443510701878952,1.3873786751311776
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,175000000.0,87500000.0,0.5,32,7200,50400,8,747485.4019818847,False,state,71276363.86782265,87500000.00000663,60478631.076628886,10797732.791193763,1.4479558695732846,4.032547620151323,5.656315259465248,41601178.19764292,38779833.09119672,44144680.63877389,2627213.812642092,2324394.990312893,3144399.406474543,13734030.579830127,12866290.700562049,14411138.055770803,60236670.15244128,56151486.94547092,63919549.44135098,10594364.807798535,9373233.486477926,12679940.343384052,77684006.7426569,72775796.42230591,81513940.09111953,70831034.9602399,65643553.89145738,74994926.05298711,88645896.35032734,88562117.54034445,88753748.47833383,1.0130959582894554,1.012138486175365,1.0143285540381008,1846154.3112866646,847444.1545912306,3459363.754609982,0.05712330157797549,0.05515512472973108,0.05968951351885101,0.05427579365079365,0.04506150793650794,0.0650188492063492,0.05897755456349206,0.0498640873015873,0.06968353174603174,0.0,0.0,0.0,0.3697993658848264,0.35294475867731223,0.3927132402681977,3825434.7256313274,2737666.5790544213,5126934.4394775815,0.49003782242063487,0.3739880952380953,0.6022430555555555,220249.04884082085,209048.56582118513,229869.6500546678,21143908.688718803,20068662.318833772,22067486.40524811,0.00016153504154058543,7.414959002257286e-05,0.0003026924365274363,0.0002507204982283342,0.00012091899688785201,0.0004585678958641838,1.0674599524354829,0.8896731030681654,1.3405710679652527
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,200000000.0,100000000.0,0.5,32,7200,50400,8,501674.6078754611,False,state,75304754.83021508,99999999.99999495,63472340.56784292,11832414.262372158,1.4479558695732846,4.032547620151323,5.656315259465248,44393779.601159394,41131599.55472105,47376978.08854836,2983673.0467066313,2614917.542692212,3570129.4817764517,16361342.537919361,15589420.946137471,16918923.46707357,64280233.74604149,59556741.00019614,68599773.5059581,12031803.643806484,10544779.513675384,14396717.145369763,92544911.46257296,88178679.58386658,95698764.98053497,76312037.38984804,70203256.32799453,81229583.39964992,101354310.52313152,101260855.18027847,101478365.44424067,1.013543105231315,1.0126085518027845,1.014783654442407,1122810.8167708088,498940.35074082215,2130819.7749927836,0.05809382903646322,0.05610173005478571,0.06060853896602545,0.06079241071428571,0.05275694444444444,0.07149801587301588,0.06543774801587302,0.05709325396825397,0.07622420634920635,0.0,0.0,0.0,0.37770690055125816,0.36066569282852634,0.39976677270433686,5058813.724003505,3791545.0489859954,6533027.076992591,0.38512338789682543,0.2820525793650794,0.498094246031746,239480.7865502782,225934.90455177132,251679.42130997553,22990155.50882671,21689750.83697005,24161224.44575765,0.00011227843535809873,4.98928401383255e-05,0.0002130802367459328,0.0001716239020273139,8.06735008697864e-05,0.00031366602105743725,1.097836459876718,0.9423241431588185,1.3356159435168382
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,225000000.0,112500000.0,0.5,32,7200,50400,8,352911.6609491433,False,state,79062810.79351595,112500000.00000536,66235747.7973526,12827062.996163353,1.4479558695732846,4.032547620151323,5.656315259465248,46804687.43118699,43192737.56366459,50132450.31152535,3309184.583163335,2879688.0649445546,3958140.790550385,18888590.308244206,18216386.50281576,19371733.963741727,67771121.88953003,62541177.87824675,72589575.68466474,13344444.415476773,11612479.253070217,15961391.225158045,106839821.59030525,103037624.94818951,109572634.42140871,81115566.30500697,74218147.662051,86704627.46677971,114061271.16532587,113959617.90266883,114202206.60100718,1.0138779659140078,1.0129743813570562,1.015130725342286,743349.8544353625,325837.5981517492,1412602.2806727618,0.05880984067244792,0.056805182620234804,0.06128015325272513,0.0657905505952381,0.05793154761904762,0.07660714285714286,0.07048859126984128,0.062422619047619046,0.0814295634920635,0.0,0.0,0.0,0.3833231164334827,0.36661357420185353,0.40471041110145967,6269925.677619744,4849533.2861406,7981493.37771906,0.30238405257936507,0.21800694444444446,0.40527380952380954,256765.6928484427,241324.50829961256,270778.36170561117,24649506.5134505,23167152.796762805,25994722.723738674,8.36247794009111e-05,3.665530595183876e-05,0.00015891628407922121,0.0001257595994813913,5.8414614499975413e-05,0.0002310156948004384,1.1288099035152936,0.9847166399730101,1.354639867001126
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,250000000.0,125000000.0,0.5,32,7200,50400,8,257644.57999920848,False,state,82596942.81258595,125000000.00000334,68809492.02887829,13787450.783707663,1.4479558695732846,4.032547620151323,5.656315259465248,48943037.97515418,45049856.361333445,52530198.684615664,3610992.121008415,3125598.1265317053,4321968.466414459,21340399.184817582,20754831.12386427,21759469.99442473,70867359.11087269,65230203.94182655,76061409.51524141,14561497.683957625,12604123.286694767,17428543.6536085,120708025.55216846,117395867.99354318,123078422.16734631,85428856.79483032,77871388.33686103,91714539.33857754,126766064.05863252,126651115.61791039,126923071.41650686,1.0141285124690602,1.0132089249432832,1.0153845713320548,521588.98712666146,227160.8575637669,989196.3938756592,0.05934080858891362,0.05735085345172346,0.061764923071752305,0.06959511408730158,0.06165277777777778,0.08042261904761905,0.07441096230158731,0.06630257936507936,0.08505357142857144,0.0,0.0,0.0,0.3873102923965953,0.3711862116861513,0.40825220797521056,7441845.825409546,5864125.265748453,9377498.769194992,0.23938368055555556,0.17035813492063492,0.329906746031746,272649.68048395216,255680.7026154805,288006.2606998474,26174369.326459408,24545347.45108613,27648601.02718535,6.519694115157817e-05,2.8393993540269896e-05,0.00012364829069030415,9.651847661810878e-05,4.459367631291308e-05,0.00017753934034976828,1.1534518540877983,1.007241315975707,1.3755140311057832
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,95.02262443438914,5619286.0,600000000.0,539451456.0,533959303.1674208,transfer payload,275000000.0,137500000.0,0.5,32,7200,50400,8,193825.34889992862,False,state,85941802.91219766,137499999.99999177,71223775.62858163,14718027.283616042,1.4479558695732846,4.032547620151323,5.656315259465248,50880882.08516274,46754749.33042332,54682114.12386288,3894715.3873304143,3355708.315075107,4674823.905271631,23738632.143191244,23224892.610266805,24106876.352069065,73673271.86427745,67698813.72341406,79177288.1063239,15705625.26634597,13532053.579878192,18851450.01382943,134273187.2303618,131367314.47089043,136356092.56824625,89378897.13062346,81254632.56954621,96262317.68519431,139468728.35648635,139338531.51190433,139641322.09678057,1.0143180244108099,1.0133711382683952,1.0155732516129494,381804.25049893325,165793.96139886387,721813.8824573932,0.05973989353765139,0.057729275024751864,0.062123894932004625,0.07250868055555557,0.0644484126984127,0.0823234126984127,0.07739521329365079,0.06913194444444445,0.08749900793650793,0.0,0.0,0.0,0.39015488439411017,0.3737224002358691,0.4107395847010801,8575578.336674267,6831606.815119025,10710827.284680929,0.19209821428571427,0.13307738095238095,0.26950694444444445,287508.26112400665,269277.7335635299,303961.4781384121,27600793.067904636,25850662.422098868,29180301.901287567,5.2496685695032445e-05,2.2795756414944618e-05,9.924833781253655e-05,7.658692801715069e-05,3.533671970486738e-05,0.00014083723293383408,1.1718237830839657,1.026799333487197,1.3931323196332983
