mechanism,workload,propagation_time_s,execution_time_s,floor_rate,m_data,safe_common_limit,shared_target,state_demand_cap_multiple,state_demand_cap_label,n_replications,burn_in_blocks,measured_blocks,equilibrium_fee_wei,equilibrium_binding_branch,equilibrium_state_demand_cap_active,equilibrium_execution_gas,equilibrium_data_gas,equilibrium_regular_gas,equilibrium_state_gas,equilibrium_state_activity_multiple,included_execution_metered,included_execution_metered_p05,included_execution_metered_p95,included_data_metered,included_data_metered_p05,included_data_metered_p95,included_state_metered,included_state_metered_p05,included_state_metered_p95,shared_gas_used,shared_gas_used_p05,shared_gas_used_p95,shared_target_utilisation,shared_target_utilisation_p05,shared_target_utilisation_p95,shared_fee_wei,shared_fee_wei_p05,shared_fee_wei_p95,shared_fee_log_return_sd,shared_fee_log_return_sd_p05,shared_fee_log_return_sd_p95,shared_limit_hit_fraction,shared_limit_hit_fraction_p05,shared_limit_hit_fraction_p95,shared_fee_floor_bounded_fraction,shared_fee_floor_bounded_fraction_p05,shared_fee_floor_bounded_fraction_p95,shared_target_deviation,shared_target_deviation_p05,shared_target_deviation_p95,regular_binding_fraction,regular_binding_fraction_p05,regular_binding_fraction_p95,state_demand_cap_active_fraction,state_demand_cap_active_fraction_p05,state_demand_cap_active_fraction_p95
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,4.032547620151323,533959303.1674208,266979651.5837104,2.0,2x,32,7200,50400,88.21956433978629,regular,True,180935178.45509204,86044473.12861863,266979651.58371067,59325184.54818,2.0,179783513.32659915,171938171.46032262,184714118.6443874,80757165.77481538,74699019.25093515,89527841.37595752,59535846.76964913,52451791.20461603,67835991.3164752,262027477.9297623,256693611.64042127,266065472.6487688,0.9814511194970401,0.9614725696049387,0.996575847898824,4238.964064590064,83.54468140320206,12692.35558019872,0.04728405031892166,0.04449807112141696,0.049694479608783905,0.023633432539682538,0.01838095238095238,0.028836309523809524,0.0,0.0,0.0,0.3265442883190594,0.3111829728909947,0.34210133555958117,0.9868030753968254,0.9735367063492064,0.9946498015873017,0.9995027281746032,0.9978968253968253,1.0
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,4.032547620151323,533959303.1674208,266979651.5837104,3.0,3x,32,7200,50400,88.21956433978629,regular,True,180935178.45509204,86044473.12861863,266979651.58371067,88987776.82227,3.0000000000000004,178318474.1179083,171179049.46738046,183786065.39770946,79718958.78446916,73878356.4715166,88870812.83874457,88520552.98142695,78342660.3597713,99698981.27379107,262401330.0119683,257220011.39860922,266358959.78434554,0.982851421280297,0.9634442545444664,0.9976751344318454,10359.764861350108,99.89279747470636,36108.78176780599,0.04778617643116642,0.04479117767426675,0.0504419069495829,0.0248468501984127,0.018182539682539682,0.030256944444444444,0.0,0.0,0.0,0.3292973436535847,0.3142115757676443,0.34820709066060984,0.9629278273809524,0.9384791666666666,0.9816924603174604,0.9973394097222221,0.9883680555555556,1.0
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,4.032547620151323,533959303.1674208,266979651.5837104,4.0,4x,32,7200,50400,88.21956433978629,regular,True,180935178.45509204,86044473.12861863,266979651.58371067,118650369.09636,4.0,175573700.0185504,169153677.8947185,182085935.7062724,77789384.87512529,72350065.01971197,87406257.11738595,116608159.15965101,103605701.06946006,129500333.25185195,262992564.59552112,258289812.8980151,266653648.93371502,0.9850659517886922,0.967451307115926,0.9987789232323079,13522.479878092618,136.34912187951983,46125.13918248851,0.048794410739417704,0.0454442742978346,0.05218424119116361,0.027759796626984128,0.021575396825396824,0.03435317460317461,0.0,0.0,0.0,0.33520350752024614,0.31922229443305866,0.3566102050674483,0.9213634672619048,0.8707827380952381,0.9522996031746032,0.9937710813492064,0.9805248015873016,1.0
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,4.032547620151323,533959303.1674208,266979651.5837104,5.0,5x,32,7200,50400,88.21956433978629,regular,True,180935178.45509204,86044473.12861863,266979651.58371067,148312961.37045,5.0,171023533.66969973,163441865.7861912,179041112.44947293,74681872.14253299,68493805.82958111,84623210.54374124,143339138.71856892,128176605.91747023,157251256.15032503,263755147.96946764,259898637.29787934,266955051.65159708,0.9879222869791194,0.9734773259166876,0.9999078584005657,17423.6908986758,275.4658649347482,51704.82906538476,0.05033802684350093,0.04672158213202548,0.05410928827682376,0.0329985119047619,0.02459126984126984,0.041898809523809526,0.0,0.0,0.0,0.34425508883494904,0.3242603067078038,0.3659568931535996,0.8593917410714285,0.7971994047619048,0.9110694444444445,0.9835230654761905,0.9521815476190476,1.0
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,96,4.032547620151323,533959303.1674208,266979651.5837104,inf,unrestricted,32,7200,50400,26719.968495497193,state,False,90550783.97764835,23191606.20554035,113742390.1831887,266979651.5837113,9.000550225575381,94747617.24265933,86698168.98891138,102237421.48716348,25495851.977217663,21684173.603730466,30922225.331007484,268830037.22585773,267588499.824395,269839724.08625585,270982791.181607,270699983.07570785,271311890.94398594,1.014994174927378,1.0139348878085974,1.016226852251012,48450.76665584536,21121.412070890387,91611.90085550204,0.06119752872083828,0.059070907077755724,0.06348000141896529,0.08216331845238095,0.07484623015873015,0.09203075396825397,0.0,0.0,0.0,0.3996311021946536,0.38240019168266476,0.4195465908369337,0.04628038194444445,0.029802579365079365,0.06571527777777778,0.0,0.0,0.0
shared_fee_8131_8279,full_multiscale_60d,3.5,5.5,82,3.0874605142255307,550000000.0,275000000.0,2.0,2x,32,7200,50400,48.369473475589906,regular,True,194600965.86203477,80399034.13796934,275000000.0000041,59325184.54818,2.0,189716211.98670778,181266958.73868486,195468397.2964717,73059363.97502466,66942694.962051556,81904765.27340282,59600175.245631605,52492805.836776964,67981158.20666702,264215542.00971067,256593522.49918044,270418915.2240542,0.9607837891262206,0.9330673545424742,0.9833415099056516,3278.777622035904,52.86395859458444,7577.797775054302,0.045263091034832746,0.04233024738012894,0.047560343231666004,0.019256572420634922,0.014176587301587301,0.02413392857142857,0.0,0.0,0.0,0.3227827079607415,0.3082471937338212,0.3384978029933867,0.9873530505952381,0.9747996031746032,0.9949265873015873,0.9995913938492064,0.9984285714285714,1.0
shared_fee_8131_8279,full_multiscale_60d,3.5,5.5,82,3.0874605142255307,550000000.0,275000000.0,3.0,3x,32,7200,50400,48.369473475589906,regular,True,194600965.86203477,80399034.13796934,275000000.0000041,88987776.82227,3.0000000000000004,188302879.05182955,180570054.401857,193745444.15631667,72205879.99464983,66289607.97087706,81384766.83392091,88664503.39407633,78438156.591171,100007236.6014478,264765497.72832716,257333661.43589216,270876212.3589105,0.962783628103008,0.9357587688577896,0.9850044085778563,8847.332431681627,61.10939311839453,31876.467301831213,0.04578102159130633,0.04268746396371332,0.04831888046186697,0.020532614087301587,0.014211309523809524,0.025726190476190475,0.0,0.0,0.0,0.3254714326397439,0.31098321608296714,0.34397587698359,0.9644649057539683,0.9405674603174603,0.9825317460317461,0.9976810515873016,0.9905198412698413,1.0
shared_fee_8131_8279,full_multiscale_60d,3.5,5.5,82,3.0874605142255307,550000000.0,275000000.0,4.0,4x,32,7200,50400,48.369473475589906,regular,True,194600965.86203477,80399034.13796934,275000000.0000041,118650369.09636,4.0,185700311.43355462,178927292.6766962,191478828.76894724,70635759.10499837,65061803.151075155,80188041.42707255,116875659.65432544,103779700.6843903,129970065.02527577,265663335.6403035,258847157.98676258,271406158.03815216,0.9660484932374673,0.9412623926791367,0.9869314837750987,11687.009575779066,80.8914804199765,40917.606640124875,0.04681207924042845,0.043344560444292024,0.05015344835244498,0.023499503968253968,0.01755357142857143,0.03051686507936508,0.0,0.0,0.0,0.33110217719457863,0.3150844636509538,0.35205625942104396,0.9250558035714286,0.8798323412698413,0.9548988095238096,0.9945777529761906,0.9820277777777777,1.0
shared_fee_8131_8279,full_multiscale_60d,3.5,5.5,82,3.0874605142255307,550000000.0,275000000.0,5.0,5x,32,7200,50400,48.369473475589906,regular,True,194600965.86203477,80399034.13796934,275000000.0000041,148312961.37045,5.0,181276631.85321194,173178728.79547375,188845217.47794753,68048869.86820814,62113427.15117841,77899936.55333462,143843781.421076,128455467.47141409,158104923.1265215,266832894.09343976,261082129.31856072,271999650.5394715,0.9703014330670536,0.9493895611584026,0.9890896383253509,14967.416247403748,142.65790700749298,45429.374182783606,0.048420340923592944,0.044635429036054,0.05227836937343248,0.028723958333333334,0.020233134920634922,0.03752876984126984,0.0,0.0,0.0,0.3400055652202906,0.32009628931578477,0.36204875242951345,0.8663516865079366,0.8051696428571429,0.9147420634920636,0.9862518601190475,0.9604275793650794,1.0
shared_fee_8131_8279,full_multiscale_60d,3.5,5.5,82,3.0874605142255307,550000000.0,275000000.0,inf,unrestricted,32,7200,50400,24459.55889629373,state,False,91525734.44585241,19265305.185577147,110791039.63142955,274999999.9999798,9.270936183153141,95833493.23993355,87666461.2832373,103462708.85191089,21233927.76971984,18040805.80967271,25801223.984358348,277431671.91935235,276500460.18015045,278222424.5047514,279137002.62575954,278842406.7688773,279472636.7635329,1.0150436459118528,1.013972388250463,1.016264133685574,44137.0199478509,19265.800854634785,83556.85565799817,0.06131445289238449,0.05920693466607508,0.06358014142400575,0.08281622023809523,0.07539682539682539,0.09256150793650794,0.0,0.0,0.0,0.4005336284747381,0.38360360094406953,0.4202727270083095,0.03699156746031746,0.024444444444444446,0.0526031746031746,0.0,0.0,0.0
shared_fee_8131_8279,full_multiscale_60d,4.0,5.0,64,2.161501805529043,500000000.0,250000000.0,2.0,2x,32,7200,50400,56.37358724831746,regular,True,191023733.55684364,58976266.443163216,250000000.00000685,59325184.54818,2.0,186491931.89115465,179244472.4245854,191271653.7149429,54001001.7382064,49251720.20129616,61254105.56903114,59548305.948976964,52486585.326396964,67704599.514713,242152132.0676232,235643527.02915266,247120601.10329765,0.9686085282704927,0.9425741081166106,0.9884824044131906,5845.018951218749,61.9288699864472,20052.493563390384,0.045505671202705884,0.042691985581400284,0.047956778826052725,0.018936011904761907,0.013508928571428571,0.024166666666666666,0.0,0.0,0.0,0.31995377638771644,0.30404511728666,0.33678504418809574,0.9842813740079365,0.9705813492063492,0.993453373015873,0.9993229166666666,0.9961190476190476,1.0
