propagation_time_s,state_demand_cap_multiple,state_demand_cap_label,replication,included_execution_metered,included_data_metered,included_state_metered,shared_gas_used,shared_target_utilisation,shared_fee_wei,shared_fee_log_return_sd,shared_limit_hit_fraction,shared_fee_floor_bounded_fraction,shared_target_deviation,regular_binding_fraction,state_demand_cap_active_fraction
3.0,2.0,2x,0,185119076.2510386,74633501.71334524,58300160.35268021,260944771.8959116,0.9773957316522057,107.92543735567759,0.044773240783413736,0.02001984126984127,0.0,0.31329957891113647,0.9913095238095239,1.0
3.0,2.0,2x,1,179664388.95765227,84309506.34448357,57745886.50574475,264974220.10943228,0.992488448230485,167.35605243507356,0.048817839195244406,0.026349206349206348,0.0,0.3356038537352785,0.9909920634920635,1.0
3.0,2.0,2x,2,189913617.17824623,71938156.70954627,54700174.35241216,262720627.95925197,0.9840473848879714,125.4510325938083,0.046907466907985015,0.02001984126984127,0.0,0.3240904146585779,0.9905555555555555,1.0
3.0,2.0,2x,3,182022818.7828742,79196543.21091725,67790161.38189393,266190504.43590853,0.9970441674370286,98797.94178665376,0.047964916761785825,0.024642857142857143,0.0,0.31977269470763126,0.9743849206349207,0.9890674603174603
3.0,2.0,2x,4,177199294.72827333,77518185.53240012,62589161.44915696,255677404.82524315,0.9576662614868854,84.92252068889157,0.04551021110810457,0.01880952380952381,0.0,0.3255576425450456,0.9837896825396826,1.0
3.0,2.0,2x,5,184310098.10790136,78559898.83688061,56668749.26922314,263678187.38304853,0.9876340231134555,197.80176672061398,0.04871584491801747,0.02603174603174603,0.0,0.33466029307043543,0.9875198412698413,1.0
3.0,2.0,2x,6,179124409.66365302,79950882.02911353,51801950.60603936,260181065.6736132,0.9745351907167145,123.99920719689514,0.04602662881485486,0.019523809523809523,0.0,0.3221755431735623,0.9888888888888889,1.0
3.0,2.0,2x,7,169962460.65261367,94014469.42473666,49575381.93947842,264328135.6677432,0.9900684718845105,131.59416751447955,0.04700013091803207,0.024761904761904763,0.0,0.3180368020813212,0.9963492063492063,1.0
3.0,2.0,2x,8,184329516.27805555,79987172.02931032,61667318.128228836,265061702.3664689,0.9928161221056949,215.31555640326548,0.046616072987236856,0.020714285714285713,0.0,0.3156037980544677,0.9906150793650793,1.0
3.0,2.0,2x,9,179624193.7391612,82979357.40518051,61976119.49247726,266066053.6581867,0.9965780241299129,974.113810372317,0.04825072869954005,0.023908730158730157,0.0,0.32278174007383004,0.9757738095238095,1.0
3.0,2.0,2x,10,168127051.9442351,93768779.64642814,54231292.70934558,262203955.60242853,0.98211213494005,122.53119132401655,0.04683644078473992,0.02533730158730159,0.0,0.3204471547827078,0.9940873015873016,1.0
3.0,2.0,2x,11,184201886.2239301,75831297.34049957,55541580.06247309,260499627.11358604,0.9757283956597996,102.23496116517072,0.044259933983466664,0.01619047619047619,0.0,0.30703175808573274,0.9937698412698412,1.0
3.0,2.0,2x,12,183516112.6066573,75254795.83493586,52983478.96708785,259083891.79394078,0.9704256120534567,76.39317545083333,0.04469291059792175,0.01982142857142857,0.0,0.31677399422287106,0.9953373015873016,1.0
3.0,2.0,2x,13,175334959.85656625,82159392.06547819,62054816.5531745,259656496.7607504,0.9725703633984111,172.8716079905776,0.046352324162262454,0.01998015873015873,0.0,0.32585360283345266,0.98,1.0
3.0,2.0,2x,14,180083936.36914104,79521366.4814454,58497445.92755425,260656101.6703686,0.9763144873557561,123.90430640333328,0.046195077300497746,0.02121031746031746,0.0,0.32092058589379246,0.9905952380952381,1.0
3.0,2.0,2x,15,179520311.270302,80406927.0006864,57871408.858539,260428744.40366945,0.9754628971115166,185.71087386360796,0.04862666507863324,0.026607142857142857,0.0,0.3387397163751511,0.9924603174603175,1.0
3.0,2.0,2x,16,173554662.12117538,81547426.27331257,62910239.88131465,256191436.53369847,0.9595916206122198,81.86065560958156,0.04405660990119999,0.019920634920634922,0.0,0.3134122878968035,0.9893452380952381,1.0
3.0,2.0,2x,17,178824356.15497565,78079883.07783519,65359410.37468056,261832205.59118357,0.9807197066817923,4334.737322284554,0.0496983484802166,0.02886904761904762,0.0,0.34719409480430025,0.9656150793650794,0.9993253968253968
3.0,2.0,2x,18,183016006.28900388,77972758.3302716,59532789.797868274,262004711.4572639,0.9813658453109239,131.15716354616575,0.04578294851935727,0.02117063492063492,0.0,0.3177784641884015,0.9888888888888889,1.0
3.0,2.0,2x,19,183703655.60156304,74752624.50896326,59808962.89507735,261547110.91765794,0.9796518549865996,18953.352996859478,0.04846509729450983,0.027202380952380954,0.0,0.3373984622303592,0.9803373015873016,0.9961507936507936
3.0,2.0,2x,20,184382789.69349095,78530112.5328791,68578801.68507007,266064997.2774269,0.9965740673461149,441.08434608611685,0.05077858816543972,0.02994047619047619,0.0,0.342243747660076,0.9725,1.0
3.0,2.0,2x,21,178924161.1348194,83335149.64852677,59581685.75459642,262819804.75108474,0.9844188618572627,249.1964889428347,0.049136632346717175,0.02736111111111111,0.0,0.3347221688089479,0.9911904761904762,1.0
3.0,2.0,2x,22,181837678.04742584,81768595.96121663,62604966.11041641,264187761.54078925,0.9895426860198528,175.38307624459912,0.04779661240005414,0.023452380952380954,0.0,0.3264344465232357,0.9915674603174603,1.0
