mechanism,workload,propagation_time_s,execution_time_s,safe_payload_bytes,execution_capacity_gas,transfer_capacity_gas,maximum_candidate_limit,physical_binding_constraint,benchmark,benchmark_label,optimize_floor,match_state_growth,shared_limit,shared_target,minimum_sufficient_floor_rate,floor_rate,cpsb,m_data,m_state,floor_payload_feasible,target_limit_ratio,n_replications,burn_in_blocks,measured_blocks,daily_block_length,m_execution,reference_cpsb,reference_m_state,static_bytes_per_reference_data_gas,equilibrium_fee_wei,equilibrium_floor_bounded,equilibrium_binding_branch,equilibrium_regular_gas,equilibrium_state_gas,equilibrium_execution_gas,equilibrium_data_gas,equilibrium_state_activity_multiple,equilibrium_state_bytes,equilibrium_annual_state_gib,included_execution,included_execution_p05,included_execution_p95,included_data,included_data_p05,included_data_p95,included_state,included_state_p05,included_state_p95,included_execution_metered,included_execution_metered_p05,included_execution_metered_p95,included_data_metered,included_data_metered_p05,included_data_metered_p95,included_state_metered,included_state_metered_p05,included_state_metered_p95,included_regular_metered,included_regular_metered_p05,included_regular_metered_p95,shared_gas_used,shared_gas_used_p05,shared_gas_used_p95,shared_target_utilisation,shared_target_utilisation_p05,shared_target_utilisation_p95,shared_fee_wei,shared_fee_wei_p05,shared_fee_wei_p95,shared_fee_log_return_sd,shared_fee_log_return_sd_p05,shared_fee_log_return_sd_p95,shared_limit_hit_fraction,shared_limit_hit_fraction_p05,shared_limit_hit_fraction_p95,shared_near_limit_fraction,shared_near_limit_fraction_p05,shared_near_limit_fraction_p95,shared_fee_floor_bounded_fraction,shared_fee_floor_bounded_fraction_p05,shared_fee_floor_bounded_fraction_p95,shared_target_deviation,shared_target_deviation_p05,shared_target_deviation_p95,shared_rationed_gas,shared_rationed_gas_p05,shared_rationed_gas_p95,regular_binding_fraction,regular_binding_fraction_p05,regular_binding_fraction_p95,runtime_bal_bytes,runtime_bal_bytes_p05,runtime_bal_bytes_p95,estimated_static_payload_bytes,estimated_static_payload_bytes_p05,estimated_static_payload_bytes_p95,estimated_counted_payload_bytes,estimated_counted_payload_bytes_p05,estimated_counted_payload_bytes_p95,included_state_bytes,included_state_bytes_p05,included_state_bytes_p95,annualized_state_growth_gib,annualized_state_growth_gib_p05,annualized_state_growth_gib_p95,base_fee_burn_eth_per_block,base_fee_burn_eth_per_block_p05,base_fee_burn_eth_per_block_p95,base_fee_exposure_proxy_eth_per_block,base_fee_exposure_proxy_eth_per_block_p05,base_fee_exposure_proxy_eth_per_block_p95,equilibrium_log_rmse,equilibrium_log_rmse_p05,equilibrium_log_rmse_p95,throughput_gap_from_best
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,533959303.1674208,266979651.5837104,96,96,1530.0,4.032547620151323,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,26719.968495497193,False,state,113742390.1831887,266979651.5837113,90550783.97764835,23191606.20554035,9.000550225575381,174496.50430307927,427.0829384294267,65435431.58575786,59876250.934679404,70608105.97583571,6322517.271664839,5377288.911697196,7668161.232984291,47527414.03089394,47307918.23822435,47705920.14557807,94747617.24265933,86698168.98891138,102237421.48716348,25495851.977217663,21684173.603730466,30922225.331007484,268830037.22585773,267588499.824395,269839724.08625585,120243469.21987703,108317840.16602917,130903873.41785629,270982791.181607,270699983.07570785,271311890.94398594,1.014994174927378,1.0139348878085974,1.016226852251012,48450.76665584536,21121.412070890387,91611.90085550204,0.06119752872083828,0.059070907077755724,0.06348000141896529,0.08216331845238095,0.07484623015873015,0.09203075396825397,0.08736793154761904,0.07960912698412698,0.0971795634920635,0.0,0.0,0.0,0.3996311021946536,0.38240019168266476,0.4195465908369337,19234763.780434027,15576071.336708361,23733694.361458182,0.04628038194444445,0.029802579365079365,0.06571527777777778,414276.6341657889,388674.6780718438,436994.92685690254,714148.3074482963,607381.7769006824,866143.0456376412,1128424.9416140853,995124.0673074945,1309213.3055066422,175705.90668356715,174894.44432966996,176365.8327361149,430.04296977484086,428.05690290254785,431.65814916650766,1.2934894874672751e-05,5.6386610572849796e-06,2.4458499285136342e-05,1.7102910412216155e-05,7.853984753099019e-06,3.113334224321774e-05,1.2276050183273164,1.0630373683846333,1.4508287996763565,0.0
shared_fee_8131_8279,full_multiscale_60d,3.5,5.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,550000000.0,275000000.0,82,82,1530.0,3.0874605142255307,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,24459.55889629373,False,state,110791039.63142955,274999999.9999798,91525734.44585241,19265305.185577147,9.270936183153141,179738.56209149005,439.9129573036319,66185368.80421361,60544981.463469975,71454324.69734162,6877473.467882136,5843250.699579572,8356778.609954287,49048127.48106742,48883495.26088839,49187927.43017298,95833493.23993355,87666461.2832373,103462708.85191089,21233927.76971984,18040805.80967271,25801223.984358348,277431671.91935235,276500460.18015045,278222424.5047514,117067421.00965337,105741876.13398647,127395083.95234549,279137002.62575954,278842406.7688773,279472636.7635329,1.0150436459118528,1.013972388250463,1.016264133685574,44137.0199478509,19265.800854634785,83556.85565799817,0.06131445289238449,0.05920693466607508,0.06358014142400575,0.08281622023809523,0.07539682539682539,0.09256150793650794,0.08805741567460318,0.08069742063492064,0.09773412698412698,0.0,0.0,0.0,0.4005336284747381,0.38360360094406953,0.4202727270083095,20004591.812414095,16142917.141848426,24677447.929167464,0.03699156746031746,0.024444444444444446,0.0526031746031746,421580.4362685331,395529.3521160318,444748.91019589826,776832.3636884731,660013.6334624846,943924.5546651545,1198412.7999570062,1054629.3758884722,1396679.0418343022,181327.89014336755,180719.25501970618,181844.72189853032,443.8028627045172,442.3132186679057,445.0678165530205,1.2137212713256007e-05,5.297765316665132e-06,2.2978103943243775e-05,1.5859479844256684e-05,7.264212113803661e-06,2.8879805609093933e-05,1.2316061915662293,1.0654861373912607,1.4550546551870265,0.0
shared_fee_8131_8279,full_multiscale_60d,4.0,5.0,7930799.0,500000000.0,753605334.841629,500000000.0,execution,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,500000000.0,250000000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,32513.150702776144,False,state,102135178.9179452,250000000.00000274,88423272.13360794,13711906.784337273,8.428123802867203,163398.6928104593,399.9208702760628,63942136.18715669,58489669.972070634,69042417.33812033,6995943.793958072,5941537.30237735,8516300.75587385,44588112.65353063,44453451.29718933,44709582.43488538,92585391.40524773,84690460.94546382,99970373.4342596,15121745.14202009,12842643.60670675,18407999.460249692,252204421.99293405,251442734.90819958,252891493.3707756,107707136.54726765,97655945.05839735,117033150.1752075,253762090.88906035,253493969.63471836,254065432.37979525,1.0150483635562413,1.0139758785388733,1.0162617295191811,58740.027521369426,25630.093408147724,111256.90796758045,0.06130308609811684,0.059210834024498,0.06356133728950689,0.08268663194444444,0.07537103174603174,0.09241765873015872,0.08791604662698413,0.08064484126984127,0.09750892857142857,0.0,0.0,0.0,0.40038797950657545,0.3836659764299102,0.41997199723645806,18168710.93304833,14646274.690602686,22437501.05508343,0.0372984871031746,0.025763888888888888,0.053080357142857144,399957.30824797496,374790.6818232186,422444.54718779336,790213.96143106,671115.4158723875,961943.0851987972,1190171.2696790348,1045007.6846454507,1392319.6713875425,164839.49149864967,164341.65680274484,165288.55775867688,403.4472477235378,402.22878947631773,404.54634445701055,1.4684478489680866e-05,6.407161117939733e-06,2.7814217785336174e-05,1.927386473936777e-05,8.812939681712843e-06,3.516262871026871e-05,1.232126183646736,1.065828529830052,1.4561039926473933,0.0
shared_fee_8131_8279,full_multiscale_60d,4.5,4.5,9086555.0,450000000.0,863428303.1674209,450000000.0,execution,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,450000000.0,225000000.0,50,50,1530.0,1.7634340839660732,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,44535.26644046533,False,state,96020993.92837113,225000000.00000715,85115895.78368536,10905098.144685775,7.5853114225806415,147058.82352941643,359.928783248464,61529252.28413194,56287110.936942026,66428968.150289945,6815479.486162893,5789046.80381658,8297756.2082405165,40089293.65995232,39952865.11933651,40206971.661098026,89091641.99526426,81501252.66246794,96186214.34290989,12018648.824471228,10208602.447525047,14632546.118052403,226757683.4699604,225986000.6338491,227423307.34354052,101110290.81973562,91806816.5283023,109745881.88532016,228379813.19311848,228139784.59931943,228651965.88258457,1.0150213919694155,1.0139545982191973,1.0162309594781536,80776.70801658969,35206.54654063713,152988.53976479988,0.06122379448733819,0.05914196955658491,0.06348115410204523,0.08219494047619048,0.07505059523809524,0.09188392857142857,0.08742993551587303,0.08017857142857143,0.0970595238095238,0.0,0.0,0.0,0.3998005932515945,0.3832398350762057,0.41927064995345237,16252843.374281209,13108621.181804985,20096151.343908343,0.04255828373015873,0.030200396825396825,0.06085714285714285,377483.30151882005,353325.8101514582,399064.5194967404,769829.9475281895,653891.1321306612,937257.7878578377,1147313.2490470095,1006323.7856762703,1343989.5539836795,148207.63625487604,147703.26838813667,148642.6845382618,362.7405204603582,361.5060721747793,363.8053079755529,1.8174158222787986e-05,7.921076973775953e-06,3.442245745745315e-05,2.4113309759778426e-05,1.102097379452722e-05,4.407390665884248e-05,1.2307114896681113,1.065000900066923,1.4554737195413283,0.0
shared_fee_8131_8279,full_multiscale_60d,5.0,4.0,10242311.0,400000000.0,973251271.4932127,400000000.0,execution,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,400000000.0,200000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,63308.22922671631,False,state,90847347.7028861,199999999.99998695,81564794.00591955,9282553.69696656,6.742499042293249,130718.95424835748,319.93669622082587,58922486.79370705,53912717.37527607,63592524.20646352,6429167.530112088,5463888.939952822,7819770.809865826,35566915.12189538,35411862.10921818,35692188.2141331,85317160.60280281,78063235.5681768,92079168.68573111,10214319.02963863,8680735.805031892,12423635.473258892,201177684.7360873,200300656.0144548,201886268.83931345,95531479.63244118,86825771.14370641,103591096.43244424,202992452.47631827,202780657.68307975,203234314.01760602,1.0149622623815913,1.0139032884153987,1.01617157008803,115596.5625966631,50303.27616622953,218819.89280442923,0.06108581928468866,0.05901663514432221,0.06334323518254599,0.0813795882936508,0.07434920634920635,0.09094246031746031,0.08656312003968253,0.07915476190476191,0.09644543650793651,0.0,0.0,0.0,0.3989194146981807,0.3825665684752391,0.41824301353682825,14290747.614249192,11541543.732823286,17692332.215721983,0.05254960317460317,0.03772916666666667,0.07550396825396825,354090.7804777848,331058.2653874519,374649.5610597249,726194.791196212,617163.5237819281,883267.8264916427,1080285.5716739967,947325.2998579051,1265154.164203515,131488.68283404398,130915.46144735608,131951.80969889768,321.82061903911415,320.41765068066474,322.9541293240181,2.311859937481557e-05,1.0060203823019369e-05,4.376407164968208e-05,3.114740403346184e-05,1.4237422322694547e-05,5.706503473646238e-05,1.2276050537991638,1.0632620816491116,1.4530212072978452,0.0
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,525000000.0,262500000.0,94,94,5355.0,3.885833754446056,19.797103408128365,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,338420.7602404324,False,state,79159549.8773173,262499999.9999878,66573079.644873574,12586470.232443724,2.5284371408600164,49019.60784313498,119.97626108281196,48212185.382068366,44081655.50595071,52097483.259044185,3586032.460011994,3041870.642892166,4382112.157609718,13434355.744589135,13414563.841309296,13454427.837505268,69809116.80892122,63828291.83034893,75434856.67492859,13934725.977653846,11820203.620808806,17028159.337808322,265961329.89719033,265569507.5413193,266358699.19626477,83743842.78657499,75723020.20348373,91207933.68685007,266517110.30761364,266228521.88388366,266836205.17878127,1.0153032773623378,1.0142038928909853,1.0165188768715478,601905.6144660412,264135.74180005456,1140880.3659133392,0.06174438019513792,0.0596357559544704,0.06398655471806146,0.08470796130952381,0.07676289682539682,0.09393551587301588,0.0900297619047619,0.08223015873015874,0.09929861111111112,0.0,0.0,0.0,0.4037938116991018,0.38702099340983104,0.42331788779468454,19602726.07425163,15687711.68365423,24113190.872121416,0.015264136904761905,0.009875992063492064,0.021747023809523806,248623.5347152698,229791.92627790637,266007.225436756,405053.69961573347,343588.9026090523,494973.41738087987,653677.2343310033,572557.8821649584,766928.0681393192,49665.981306664864,49592.81186579259,49740.1865912726,121.55827029972826,121.3791869425242,121.73988890076465,0.0001579958993919114,6.93332486493217e-05,0.00029948229086876484,0.00019460956765310716,8.856301971729252e-05,0.0003532767217131424,1.2392112846335817,1.0696834243949338,1.4653792797112657,100020.2443728447
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,533959303.1674208,266979651.5837104,96,96,5446.384892307692,4.032547620151323,20.134947696262085,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,332742.39829187415,False,state,79711167.87378341,266979651.5837189,66709707.264755495,13001460.609027911,2.528437140860214,49019.607843138816,119.97626108282135,48312205.62644121,44172849.2846086,52205842.90132447,3569644.9199835137,3027966.4353135563,4362001.085609305,13435288.47546886,13415496.219469784,13455226.828946814,69953941.708837,63960336.397424996,75591756.65499435,14394763.126864742,12210418.842621738,17589977.096871264,270518830.7377404,270120314.6984101,270920288.44216746,84348704.83570187,76236863.98058043,91885680.78628157,271066459.7539304,270772733.9171092,271391149.26586044,1.0153075642505982,1.0142073836372862,1.0165237225233505,591620.779532741,259659.42625044342,1121383.8369909222,0.06175368682321127,0.05964447866878108,0.06399544447454868,0.08474950396825397,0.07679365079365079,0.09396428571428571,0.09006696428571428,0.08225,0.09934920634920635,0.0,0.0,0.0,0.40387279056476055,0.38707862232166534,0.42339873428907626,19947482.3493288,15961379.819344098,24534418.90302957,0.014934895833333333,0.009578373015873016,0.0211875,249068.4784434833,230197.4363701274,266490.37594391016,403202.6751785161,342018.3784203443,492701.8082396234,652271.1536219993,571390.1331658033,765150.0260051191,49669.429554971946,49596.25881011821,49743.140413158646,121.56670994168732,121.38762339296812,121.74711842628282,0.0001579463749692799,6.932139071906997e-05,0.0002993878518591043,0.00019417062473050742,8.835658017295017e-05,0.00035241785558382926,1.2392940665081746,1.069723491649197,1.4654842264075438,0.0
shared_fee_8131_8279,full_multiscale_60d,3.5,5.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,550000000.0,275000000.0,82,82,5610.0,3.0874605142255307,20.73982261803924,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,323037.9984111931,False,state,77604972.67226711,275000000.00002396,66949369.283919476,10655603.388347628,2.5284371408603534,49019.60784314152,119.97626108282797,48492523.43394486,44335329.73984353,52405688.16229741,3823186.806216768,3242356.3955012765,4677078.0419457285,13440955.804081852,13423905.952331586,13459262.276026277,70215033.93660058,64195600.92627376,75881123.77362607,11803938.302702278,10010647.344156872,14440293.776458671,278763039.19353783,278409428.2925756,279142712.17442447,82018972.23930289,74299483.96876854,89249869.1493386,279215781.6559571,278911892.8110233,279550914.3649957,1.015330115112571,1.0142250647673574,1.0165487795090755,573518.6078537854,251879.5391214964,1087237.6765498968,0.06179880163000466,0.059687791098404115,0.06403772431302485,0.08491567460317462,0.07693650793650794,0.09410714285714286,0.09024429563492063,0.08238492063492063,0.09945436507936507,0.0,0.0,0.0,0.4042587361840235,0.3873968126706064,0.4237610945285641,20603303.904057845,16465922.194888348,25338424.10445484,0.01273499503968254,0.008284722222222223,0.01850595238095238,249880.61476913263,230932.79400117084,267400.9198865405,431841.032519539,366234.40197920956,528290.7462235552,681721.6472886716,596335.4733950935,801702.635678919,49690.38131792118,49627.349071760356,49758.05921112736,121.61798971099488,121.4637172972655,121.78363241892559,0.00015771330491418589,6.926451122398045e-05,0.00029899154618622783,0.00019205610648378345,8.721897912617607e-05,0.00034863700007202534,1.2399645139348026,1.0700621248785664,1.4662708836326381,0.0
shared_fee_8131_8279,full_multiscale_60d,4.0,5.0,7930799.0,500000000.0,753605334.841629,500000000.0,execution,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,500000000.0,250000000.0,64,64,5100.0,2.161501805529043,18.854384198217492,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,355341.79825234425,False,state,74101462.14605744,250000000.00001428,66180699.361574434,7920762.784483012,2.528437140860278,49019.60784314005,119.97626108282438,47931252.52850194,43823192.43301533,51798803.341016896,4058812.556272481,3442135.4099594695,4966551.889999106,13436950.009955227,13418758.329193877,13455669.164846962,69402338.43464363,63454048.70682348,75002381.33449762,8773130.668686923,7440181.903502864,10735210.877486741,253345417.93991548,253002425.00162953,253698356.0781059,78175469.10333073,70963531.29957844,84938619.11351986,253827169.03437638,253551813.32502866,254131083.42607835,1.0153086761375056,1.0142072533001145,1.0165243337043135,631802.7511734357,277279.2646886538,1197761.477339723,0.061755299947506684,0.0596463764780745,0.0639960876069246,0.08476190476190476,0.07679166666666666,0.09400793650793651,0.0900657242063492,0.08222123015873016,0.09931150793650795,0.0,0.0,0.0,0.4038986948612562,0.3871440690142614,0.4234084586022548,18687483.59037468,14942169.384016134,22997514.21447381,0.014344618055555557,0.009724206349206349,0.020720238095238094,247386.8163056804,228659.14242559296,264700.71217257937,458455.7056573498,388800.07304165314,560987.7322111363,705842.5219630301,616641.8624077447,831649.4144961298,49675.57214508146,49608.318627770495,49744.77570158939,121.5817440275793,121.41713998632586,121.75112082043375,0.00015794638149225915,6.931744678234737e-05,0.0002994415395478368,0.00019419464340343892,8.819234290068263e-05,0.0003528907556564988,1.2396728076611145,1.069900472812236,1.4658439827915022,0.0
shared_fee_8131_8279,full_multiscale_60d,4.5,4.5,9086555.0,450000000.0,863428303.1674209,450000000.0,execution,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,450000000.0,225000000.0,50,50,4590.0,1.7634340839660732,16.968945778395742,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,394824.2202804984,False,state,71950536.9063426,224999999.9999907,65341240.410287745,6609296.496054844,2.5284371408600292,49019.60784313523,119.97626108281257,47313939.70027158,43261155.942328125,51128492.426257245,4149397.3398001026,3519214.0896641947,5076284.035727986,13428791.982617747,13408117.93152326,13449536.278751055,68508496.70164482,62640244.67121924,74031800.71103221,7317188.696921643,6205902.074487439,8951692.288495455,227872443.02237564,227521626.17033505,228224451.85867622,75825685.3985666,68904223.08833063,82317312.38362876,228436160.34375972,228189701.05312175,228708596.68896636,1.015271823750043,1.0141764491249856,1.0164826519509618,703851.615830305,308538.25600234314,1334378.9341337767,0.06168090782070357,0.059576386959084335,0.0639242613553814,0.08441964285714286,0.07657738095238095,0.09371428571428571,0.08973152281746032,0.08198511904761904,0.09906349206349206,0.0,0.0,0.0,0.40324702684535685,0.3865474418346235,0.42276437855718885,16746964.862058446,13406104.179427942,20627536.50789698,0.017456597222222224,0.012214285714285714,0.024802579365079364,244634.7168747406,226152.64657947767,261702.37988581607,468687.54323994403,397506.35351290985,573382.3248674747,713322.2601146847,622859.6719764789,840982.6614592273,49645.41242317551,49568.98173645644,49722.102801454515,121.50792763392,121.32086232621923,121.6956285407976,0.00015836229995971695,6.941871938411438e-05,0.0003002364232490486,0.00019759636022303936,8.981672369802414e-05,0.00035949362251811974,1.238898809186498,1.0695091287618217,1.4648765082800594,0.0
