propagation_time_s,safe_payload_bytes,execution_capacity_gas,transfer_capacity_gas,maximum_candidate_limit,physical_binding_constraint,benchmark,benchmark_label,optimize_floor,match_state_growth,shared_limit,shared_target,minimum_sufficient_floor_rate,floor_rate,cpsb,m_data,m_state,floor_payload_feasible
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,50000000.0,25000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,75000000.0,37500000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,100000000.0,50000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,125000000.0,62500000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,150000000.0,75000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,175000000.0,87500000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,200000000.0,100000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,225000000.0,112500000.0,50,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,250000000.0,125000000.0,50,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,275000000.0,137500000.0,50,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,300000000.0,150000000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,325000000.0,162500000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,350000000.0,175000000.0,64,64,1530.0,2.161501805529043,5.656315259465248,True
