mechanism,workload,propagation_time_s,execution_time_s,safe_payload_bytes,execution_capacity_gas,transfer_capacity_gas,maximum_candidate_limit,physical_binding_constraint,benchmark,benchmark_label,optimize_floor,match_state_growth,shared_limit,shared_target,minimum_sufficient_floor_rate,floor_rate,cpsb,m_data,m_state,floor_payload_feasible,target_limit_ratio,n_replications,burn_in_blocks,measured_blocks,daily_block_length,m_execution,reference_cpsb,reference_m_state,static_bytes_per_reference_data_gas,equilibrium_fee_wei,equilibrium_floor_bounded,equilibrium_binding_branch,equilibrium_regular_gas,equilibrium_state_gas,equilibrium_execution_gas,equilibrium_data_gas,equilibrium_state_activity_multiple,equilibrium_state_bytes,equilibrium_annual_state_gib,included_execution,included_execution_p05,included_execution_p95,included_data,included_data_p05,included_data_p95,included_state,included_state_p05,included_state_p95,included_execution_metered,included_execution_metered_p05,included_execution_metered_p95,included_data_metered,included_data_metered_p05,included_data_metered_p95,included_state_metered,included_state_metered_p05,included_state_metered_p95,included_regular_metered,included_regular_metered_p05,included_regular_metered_p95,shared_gas_used,shared_gas_used_p05,shared_gas_used_p95,shared_target_utilisation,shared_target_utilisation_p05,shared_target_utilisation_p95,shared_fee_wei,shared_fee_wei_p05,shared_fee_wei_p95,shared_fee_log_return_sd,shared_fee_log_return_sd_p05,shared_fee_log_return_sd_p95,shared_limit_hit_fraction,shared_limit_hit_fraction_p05,shared_limit_hit_fraction_p95,shared_near_limit_fraction,shared_near_limit_fraction_p05,shared_near_limit_fraction_p95,shared_fee_floor_bounded_fraction,shared_fee_floor_bounded_fraction_p05,shared_fee_floor_bounded_fraction_p95,shared_target_deviation,shared_target_deviation_p05,shared_target_deviation_p95,shared_rationed_gas,shared_rationed_gas_p05,shared_rationed_gas_p95,regular_binding_fraction,regular_binding_fraction_p05,regular_binding_fraction_p95,runtime_bal_bytes,runtime_bal_bytes_p05,runtime_bal_bytes_p95,estimated_static_payload_bytes,estimated_static_payload_bytes_p05,estimated_static_payload_bytes_p95,estimated_counted_payload_bytes,estimated_counted_payload_bytes_p05,estimated_counted_payload_bytes_p95,included_state_bytes,included_state_bytes_p05,included_state_bytes_p95,annualized_state_growth_gib,annualized_state_growth_gib_p05,annualized_state_growth_gib_p95,base_fee_burn_eth_per_block,base_fee_burn_eth_per_block_p05,base_fee_burn_eth_per_block_p95,base_fee_exposure_proxy_eth_per_block,base_fee_exposure_proxy_eth_per_block_p05,base_fee_exposure_proxy_eth_per_block_p95,equilibrium_log_rmse,equilibrium_log_rmse_p05,equilibrium_log_rmse_p95
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,50000000.0,25000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,1495122567.2146773,False,regular,24999999.99999956,6864314.637069767,24079297.73687559,920702.263123971,0.2314131743322273,4486.480154947561,10.98073073402251,16693542.912644766,16536306.82300012,16826993.29138322,574762.0203793319,508192.4354192958,687688.3192955817,1226800.1639968418,999504.1333937186,1523359.7710875561,24171513.444337524,23943842.525427613,24364743.70352863,913151.2928815822,807389.0810139042,1092562.583466936,6939168.487929786,5653510.481613487,8616603.118857985,25084664.737219118,24903613.785482425,25205981.47438822,25262687.170203425,25241748.142695874,25292521.50336685,1.010507486808137,1.009669925707835,1.011700860134674,2866523225.6400576,1340440093.7245994,6557557041.851894,0.05102639289225475,0.04893287353682743,0.05327173211797638,0.02807167658730159,0.02175,0.03412400793650794,0.03387586805555556,0.026855158730158733,0.041123015873015874,0.0,0.0,0.0,0.31867940524972826,0.30267045970828244,0.33619498960118827,112504.49408556029,71029.30835707835,156163.93419471095,0.9796236359126984,0.9581607142857143,0.9917142857142858,77225.32850309114,76476.39371382528,78014.88927375698,64921.186673386466,57401.94166636935,77676.56902700469,142146.5151764776,134818.44917829233,154333.19815758205,4535.404240476984,3695.1048899434554,5631.766744351624,11.100473202740321,9.043827327686737,13.783837672468339,0.07166329992467396,0.0335085544137872,0.16393783864225459,0.08726850764216705,0.04212648954370204,0.19362298439206832,1.0631801866297623,0.8158196744767786,1.4146891719068153
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,75000000.0,37500000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,59701321.94696217,False,regular,37500000.000000075,20182225.954283174,35572094.90579661,1927905.094203467,0.6803931958405457,13190.997355740637,32.28517347097993,24106616.317220785,23592069.348602038,24476463.54826146,1151584.461187324,1027203.1749297477,1386562.034730657,3252537.2459819578,2739414.6090700813,3856615.450005637,34905316.592071004,34160275.28868814,35440839.06110151,1829576.072026345,1631965.7075116278,2202895.9287170474,18397376.05642677,15494992.655285057,21814232.81975617,36734892.664097264,35934302.731521636,37253646.27984537,37903804.79264616,37870897.1104167,37948391.83706959,1.0107681278038976,1.009890589611112,1.0119571156551892,135153105.46198893,63685698.36373513,290676028.4416462,0.05169702647113893,0.0494938021361874,0.05421744516782322,0.030959201388888885,0.02480059523809524,0.03878472222222222,0.03708891369047619,0.02992261904761905,0.04561210317460317,0.0,0.0,0.0,0.3235848744931947,0.30645159724034127,0.3430448973752503,343036.86125103256,182892.899735421,554440.107247763,0.9156287202380953,0.8647410714285715,0.9512420634920635,115383.81985250313,113807.27613696695,117192.79248164927,130075.10434592009,116025.84496988355,156616.56389816763,245458.92419842322,232015.94127608946,271606.6071772882,12024.428795050175,10127.446179924873,14257.668509644554,29.42997857312845,24.787083790490932,34.895867894725775,0.005068242207853335,0.002388088174950091,0.010900324915796754,0.007109273937377064,0.0035440037591872643,0.014699826013943674,1.032766459591425,0.7826811927196112,1.4710752501821796
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,100000000.0,50000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,6244364.927759717,False,regular,50000000.00000078,42983499.114447705,46763423.50596405,3236576.494036737,1.4490810080679764,28093.790270880854,68.75999349344045,30339468.49927588,29150702.9275722,31284552.70641291,1783418.1499674595,1595924.6985379457,2160210.476630983,5936265.6645889925,5193980.478770508,6690747.017981333,43930211.49326028,42208931.4061654,45298651.71822537,2833399.79269414,2535520.180769384,3432027.3777485117,33577390.062854625,29378791.039434426,37844974.455029875,46763611.28595443,44885197.5024824,48205039.0818975,50568731.93357641,50522889.93626802,50629283.0654247,1.0113746386715285,1.0104577987253605,1.012585661308494,21182440.277356118,10222524.242373576,42902402.28354968,0.05319264072575207,0.05100754722343043,0.05560435330572519,0.035757068452380955,0.028955357142857144,0.043680555555555556,0.041857018849206354,0.03491964285714286,0.05043154761904762,0.0,0.0,0.0,0.33641904002192236,0.31859792257480746,0.35797330070021816,941052.0412963551,552750.2402284013,1465076.1850074676,0.8039775545634921,0.7170009920634921,0.8723402777777778,150009.8516338886,146081.43069905293,153477.84445501186,201442.71633384775,180264.73844265114,244002.60044080025,351452.5679677364,329155.8252101928,394182.0310787429,21946.00657702917,19201.82420878067,24735.277421588155,53.71319622214199,46.99676672059633,60.53998047852299,0.00105911265623802,0.000511091989568185,0.002145025999070288,0.0016228753835613886,0.0008131962960440123,0.0032454563943671907,1.1342294355179061,0.8039515166923537,1.628054636624685
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,125000000.0,62500000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,2041657.8574558252,False,state,57729475.37077761,62500000.00000275,53546380.709798254,4183094.660979354,2.1070309507168705,40849.67320261618,99.980217569019,35310351.550104424,33345868.440642986,36951444.08799509,2387297.29876471,2106288.750097692,2900833.93348741,8837379.851717863,8007125.875514349,9558701.94849068,51127830.783669695,48283345.93464702,53504060.35642109,3792810.828768681,3346359.4098723587,4608690.489066343,49987006.50896317,45290828.27413178,54067031.69192932,54920641.61243862,51757024.63320422,57324441.98657882,63262507.018608764,63207711.68497063,63336547.53805678,1.0122001122977402,1.0113233869595302,1.0133847606089086,6612206.967638401,3185178.979489756,12947202.390939774,0.05511312374494781,0.05306837780220058,0.05776372430519954,0.043196924603174605,0.03534722222222222,0.053624007936507935,0.04884796626984127,0.04082043650793651,0.05883531746031746,0.0,0.0,0.0,0.35278388457078674,0.3349293255860509,0.37691033740357044,1930865.210528294,1276423.8954246445,2771727.4584597843,0.6633252728174603,0.5520892857142857,0.759172619047619,179595.90217240178,172155.56734532845,184689.7160332265,269652.77468348923,237911.97101523605,327658.3605509265,449248.6768558909,417133.3694483899,507909.4917910237,32671.246084289654,29601.84854518417,35337.92921041132,79.9633885822382,72.45098983565717,86.49013746991842,0.00041325619501785015,0.0001990592427273088,0.0008092026631438895,0.0006494851236536933,0.00032842893317928116,0.001250053157896306,1.1000830411207914,0.8475040713479486,1.4592154316267618
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,150000000.0,75000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,1184472.6608413283,False,state,61937595.20186268,75000000.00000046,57197805.08629793,4739790.115564752,2.528437140860149,49019.60784313756,119.97626108281827,39222582.557115264,36591873.494561225,41543629.3366502,2927361.8243098985,2575965.807601916,3550667.6987891244,11679125.941473417,10898649.458524527,12273248.397138482,56792568.63339778,52983418.005133085,60153341.94138001,4650836.5894402005,4092557.3093329733,5641111.772838234,66060818.27996893,61646197.239811055,69421362.19193693,61443405.22283795,57146353.5329639,64853954.7938563,75971188.07228805,75899310.78665815,76063874.74928091,1.012949174297174,1.0119908104887754,1.0141849966570788,3004050.054196685,1399624.8606242149,5698411.567448127,0.0567873632807077,0.054798629006318586,0.05936159341129574,0.05229724702380953,0.042962301587301584,0.06327480158730159,0.057171378968253965,0.0477172619047619,0.06801289682539682,0.0,0.0,0.0,0.3669997535861659,0.35002882804297875,0.39042571240900686,3162324.741317883,2268297.76306579,4291948.59765222,0.5140804811507936,0.40011111111111114,0.6237628968253968,204335.40739129158,193677.85784974645,213309.25640715266,330654.7696577798,290963.4790225231,401059.1380692096,534990.1770490713,487699.9128969621,605922.9227224638,43177.005411744394,40291.63218288304,45373.43934113524,105.67639975069488,98.61440339741915,111.05220633419549,0.00022529909690619684,0.0001049694902539798,0.00042737911578337077,0.0003515220624289926,0.00017148283515552602,0.000642286607304498,1.0692317594310135,0.8822451196248502,1.331965608620116
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,175000000.0,87500000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,747485.4019818847,False,state,65746518.5141173,87500000.00000663,60478631.076628886,5267887.437488413,2.9498433310037124,57189.54248366447,139.97230459663106,42364088.71489194,39218000.548717804,45218160.98432749,3401995.8709979225,2961958.374756348,4111189.1939777685,14367402.554399546,13701741.940812947,14824287.669641836,61341330.91385129,56785934.087444335,65473901.60856707,5404909.88936481,4705801.746582257,6531638.4775805045,81266558.30733225,77501372.02107742,83850844.55650143,66746240.80321604,61549536.85636825,70974284.43279007,88682536.39735112,88599357.35275154,88790609.16471033,1.0135147016840125,1.0125640840314463,1.0147498190252608,1672235.5008831052,744473.9649768885,3222789.829929917,0.058021085537381105,0.05612204185571464,0.0605209912385393,0.06055121527777778,0.05234325396825397,0.07140873015873016,0.06514508928571427,0.056595238095238094,0.07584623015873015,0.0,0.0,0.0,0.3772746663352688,0.36076293207893495,0.39940653865375625,4452953.573514976,3359387.2143126973,5732969.93310189,0.38358010912698415,0.2848998015873016,0.4958531746031746,225267.74673725074,211923.22038400616,236996.23865762888,384266.18525939086,334562.5593692621,464371.8124167093,609533.9319966417,547836.1793513553,689701.3881587457,53115.39758649166,50654.491517044065,54804.47356634081,130.00077089043342,123.97766458503139,134.1348109136742,0.00014631718961032232,6.513997952144921e-05,0.00028199211202011867,0.00022426616466344354,0.0001055635030326111,0.0004160223539860851,1.1061012007874527,0.96040703361375,1.3464267377056074
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,200000000.0,100000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,501674.6078754611,False,state,69245017.81901038,99999999.99999495,63472340.56784292,5772677.251167447,3.3712495211466744,65359.477124179706,159.9683481104153,44989331.270702615,41455496.12250911,48217435.5147107,3824978.143110297,3305318.4368922235,4608132.80475149,16917091.190657258,16374266.219280377,17264445.166997995,65142566.2815907,60025728.93666002,69816718.76929614,6076921.600212552,5251313.929966139,7321156.024978324,95688401.04748155,92618011.87866312,97653144.64429265,71219487.88180318,65329099.42332355,76155674.2978297,101391970.42135009,101300697.47407062,101516243.17240804,1.0139197042135009,1.0130069747407062,1.0151624317240804,1046388.0417547674,458184.4119461773,2014044.9361513006,0.05888846157832459,0.05697487780594393,0.061322346111844485,0.06672061011904762,0.059545634920634916,0.07754563492063492,0.07131758432539682,0.06379861111111111,0.08219246031746032,0.0,0.0,0.0,0.3842013449972207,0.36805418496465275,0.40532211105203336,5708065.222457876,4469789.626267281,7227111.654792299,0.28415364583333336,0.20769742063492064,0.3844375,243558.64901882468,228144.761052099,257258.93633703858,432043.36968298454,373346.1635388572,520503.1637886999,675602.0187018092,601688.9845875305,767880.9138681779,62541.43859312519,60534.648286707925,63825.5847348318,153.07115448893327,148.15950365501308,156.21412236535733,0.00010463621451140462,4.581672578653048e-05,0.0002014027719687694,0.00015728267811639115,7.293259293513449e-05,0.0002928233281970715,1.1437889699899375,1.0031926187924793,1.375279675607988
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,225000000.0,112500000.0,50,50,1530.0,1.7634340839660732,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,352911.6609491433,False,state,73017460.46357158,112500000.00000536,66235747.7973526,6781712.666218981,3.7926557112903807,73529.4117647094,179.96439162423488,47239831.97705312,43424563.07881005,50737208.50958226,4103690.1560262847,3531584.1980354832,4946039.161947551,19336443.90638397,18876455.366904166,19632897.236310177,68401191.98882976,62876850.993618436,73465238.86721276,7236587.091172798,6227715.945211732,8722014.03880929,109373022.7314691,106771182.53642982,111049856.22524911,75637779.08000264,69159527.7080466,81222834.2450774,114095611.8615198,113990119.26646926,114235457.50931261,1.0141832165468427,1.0132455045908377,1.0154262889716676,707868.2044781351,307942.8074453742,1355129.852955504,0.05944632120366386,0.05755198409505564,0.06183002652371109,0.07061073908730159,0.06306646825396825,0.08086507936507936,0.0754408482142857,0.06772916666666666,0.08612599206349207,0.0,0.0,0.0,0.3883857998745704,0.3727683671732043,0.40892400519790395,6854475.604599128,5451313.579342403,8584084.906742938,0.21940104166666669,0.1598125,0.30544146825396823,259854.1728226071,242955.46231730547,274943.4100781261,463524.7723802125,398903.59634780075,558670.754749514,723378.9452028197,641328.0652249937,828688.9052051287,71485.63577220202,69785.08662511753,72581.60537597981,174.96221774196897,170.80009696149162,177.64462058253116,7.963313803168801e-05,3.464226316402054e-05,0.00015245066060716827,0.00011768945900728793,5.419989692254874e-05,0.00021876965827228424,1.1679859746827304,1.023137808079548,1.39568866922839
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,250000000.0,125000000.0,50,50,1530.0,1.7634340839660732,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,257644.57999920848,False,state,76098965.04719184,125000000.00000334,68809492.02887829,7289473.018313562,4.214061901433668,81699.34640523094,199.96043513803457,49289274.5217904,45232833.542289324,53015036.423668794,4455523.443575928,3820777.676579646,5383474.19551749,21729066.734033905,21348679.391835853,21979226.625882853,71368694.35083553,65495146.82498892,76763433.16529234,7857021.902311683,6737689.582137257,9493401.886527307,122906451.7416608,120754861.0134785,124321434.95523448,79225716.253147,72289409.98655677,85342924.9440307,126799683.10957891,126678557.11457878,126954356.50707231,1.0143974648766312,1.0134284569166303,1.0156348520565786,502201.19467131206,217852.47691193878,956009.1760036198,0.059895861251327204,0.057967065083091796,0.06222889757292917,0.07381324404761905,0.06590575396825397,0.08300099206349207,0.07869295634920635,0.07070734126984127,0.08832837301587301,0.0,0.0,0.0,0.3915714027466105,0.3755799504630566,0.41157473335697836,7997355.1648215875,6422056.06718202,9917342.60474581,0.1682725694444444,0.12023511904761905,0.2387361111111111,275191.592486412,257008.30849493702,291455.4481842149,503265.4541389806,431568.91371323937,608080.4242560872,778457.0466253925,687629.2142157351,897697.3680147661,80331.01421023582,78924.74576044347,81255.83984002254,196.61142057226945,193.1695564262992,198.87494584506308,6.277349971465211e-05,2.7230521386337413e-05,0.00011949992805562364,9.121419942109945e-05,4.1836265910145815e-05,0.00016920124976341195,1.187101670991909,1.040717408342264,1.4138007701625244
shared_fee_8131_8279,full_multiscale_60d,3.0,6.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,275000000.0,137500000.0,50,50,1530.0,1.7634340839660732,5.656315259465248,True,0.5,32,7200,50400,8,1.4479558695732846,1530.0,5.656315259465248,0.11295316038895495,193825.34889992862,False,state,79005247.66788714,137499999.99999177,71223775.62858163,7781472.039305506,4.635468091576634,89869.28104574626,219.956478651819,51161825.09244152,46902025.712691315,55076749.334339656,4787936.305931532,4093680.6812218213,5795714.24119426,24079224.188662656,23759626.051914558,24294979.99630842,74080064.94068275,67912063.42556867,79748702.47567414,8443210.073738266,7218936.042140079,10220360.033849416,136199683.21441424,134391935.39662942,137420066.08151975,82523275.0144209,75194039.01361133,89087444.75193743,139501474.74667698,139364918.09684384,139670831.8197258,1.0145561799758327,1.013563040704319,1.015787867779824,370417.5607810516,160567.78540977667,701480.0960268396,0.06022771782580892,0.05825392725550757,0.06252189552173817,0.07611483134920635,0.06828968253968254,0.08526785714285715,0.08099082341269842,0.07287797619047619,0.09099206349206349,0.0,0.0,0.0,0.39376962004381166,0.3778157007453695,0.4134128052626462,9097536.532411553,7340968.171098057,11274517.879827937,0.13213789682539684,0.09307142857142857,0.18912599206349207,289636.47905683296,270385.5177648644,306853.0510556688,540812.5374959847,462394.1705672148,654644.2402541656,830449.0165528178,731841.9800108991,961974.0805325641,89019.40079373479,87837.86627230681,89817.03665458807,217.87638336972802,214.98455904761542,219.82860968285934,5.093103979221966e-05,2.2077215003835525e-05,9.64524699454066e-05,7.287629039461219e-05,3.334950720452481e-05,0.00013486009585128987,1.2001206872641792,1.0488265727589177,1.426487327478055
