propagation_time_s,design_family,mechanism,configuration,state_demand_cap_label,shared_limit,floor_rate,cpsb,actual_parent_execution,metered_execution_gas,floor_or_data_gas,state_gas,state_bytes,annualized_state_growth_gib,estimated_payload_bytes,hard_limit_fraction,execution_rationed_gas,data_or_regular_rationed_gas,execution_price_variation,data_or_regular_price_variation,state_price_variation,regular_binding_fraction,equilibrium_binding_branch,base_fee_exposure_proxy_eth_per_block,equilibrium_execution_fee_wei,equilibrium_data_or_regular_fee_wei,equilibrium_state_fee_wei,source_file
3.0,EIP-7999 maximum throughput,EIP-7999,E300/D67.5,unrestricted,,,1530.0,174679936.02771702,252928838.66801873,67449803.29824334,74997386.83634834,49017.89989303813,119.97208084809054,4215612.706140202,0.3067633928571428,34832239.10184891,14158328.68171002,0.0397073165806073,0.0940046706280484,0.1480931968551904,,separate targets,0.0001864036303481,1.0,46.418930475028674,1184470.820099334,data/7999/slot_time_scenarios.csv
3.0,EIP-7999 balanced (historically anchored),EIP-7999,E175/D36,unrestricted,,,1530.0,119923346.17411809,173643712.9916832,35997818.19627011,74997321.274896,49017.857042415686,119.97197597051824,2249863.6372668827,0.0175167410714285,763455.7570837804,545687.8058566689,0.0357480201010878,0.0463907608228439,0.1501333535171036,,separate targets,0.0002423998838356,69.51104090245909,951.2787977935621,1184464.1499595065,data/7999/slot_time_scenarios.csv
3.0,Proposal-faithful shared fee,one-dimensional shared fee,G359.6,unrestricted,359634304.0,64.0,1530.0,56609526.95518505,81968096.82852739,11985195.705246331,180101337.58944395,117713.29254212024,288.1051346666105,960396.8804281838,0.0799175347222222,,12563392.258356906,0.0608241631259565,0.0608241631259565,0.0608241631259565,0.0751047867063492,state,3.982004517765663e-05,86980.77679364083,86980.77679364083,86980.77679364083,data/shared_fee/shared_fee_state_tail.csv
3.0,Floor- and state-growth-adjusted shared fee,one-dimensional shared fee,G534.0,unrestricted,533959303.1674208,96.0,5446.384892307692,48312205.62644121,69953941.708837,14394763.126864742,270518830.7377404,49669.429554971946,121.56670994168732,652271.1536219993,0.0847495039682539,,19947482.3493288,0.0617536868232112,0.0617536868232112,0.0617536868232112,0.0149348958333333,state,0.0001941706247305,332742.39829187415,332742.39829187415,332742.39829187415,data/shared_fee/shared_fee_state_tail.csv
3.0,"Proposal-faithful shared fee, 2x state cap",one-dimensional shared fee,G359.6,2x,359634304.0,64.0,1530.0,100070986.60712722,144898372.4317792,33654558.33721935,59069500.49545187,38607.516663694034,94.4925041796527,2229700.3589927084,0.0263585069444444,,1228177.806783105,0.0505499491313647,0.0505499491313647,0.0505499491313647,0.9663107638888888,regular,7.907548238742853e-06,552.2044921077651,552.2044921077651,552.2044921077651,data/shared_fee/shared_fee_state_tail.csv
3.0,"Floor- and state-growth-adjusted shared fee, 2x state cap",one-dimensional shared fee,G534.0,2x,533959303.1674208,96.0,5446.384892307692,105333905.49059632,152518846.72018647,63015584.42088647,193413745.86418575,35512.316828242794,86.91695390699624,2257215.4001127263,0.0511005704365079,,10508024.442068392,0.0542685028162612,0.0542685028162612,0.0542685028162612,0.6513839285714286,regular,9.49766018481156e-05,88.21956433978629,88.21956433978629,88.21956433978629,data/shared_fee/shared_fee_state_tail.csv
3.5,EIP-7999 maximum throughput,EIP-7999,E300/D77,unrestricted,,,1530.0,182186274.38345474,263797685.34921223,76817613.8474467,74997301.46731243,49017.84409628263,119.97194428465399,4801100.8654654175,0.2529464285714285,29297451.310920656,12825240.242866034,0.0528785682966157,0.1133585485700595,0.1484447802802584,,separate targets,0.0001998612945115,1.0,23.923710030702964,1184470.9859219892,data/7999/slot_time_scenarios.csv
3.5,EIP-7999 balanced (historically anchored),EIP-7999,E225/D52.5,unrestricted,,,1530.0,152915660.21814078,221415127.76253095,52497511.64162986,74997290.6083954,49017.83699895124,119.97192691382381,3281094.477601864,0.047828621031746,2898406.539291382,1708349.7754864758,0.0593872569386475,0.056160853887405,0.1499955201161005,,separate targets,0.0002377723364579,7.134656422195298,152.13944594683812,1184470.0407846067,data/7999/slot_time_scenarios.csv
3.5,Proposal-faithful shared fee,one-dimensional shared fee,G433.6,unrestricted,433602688.0,64.0,1530.0,60678424.34747968,87859680.6903917,13685071.834085133,218193149.54430205,142609.90166294255,349.03997701612576,1084887.6310147569,0.0816939484126984,,15543287.91456624,0.0611311393668784,0.0611311393668784,0.0611311393668784,0.0497805059523809,state,2.6306446905446964e-05,49755.90583132637,49755.90583132637,49755.90583132637,data/shared_fee/shared_fee_state_tail.csv
3.5,Floor- and state-growth-adjusted shared fee,one-dimensional shared fee,G550.0,unrestricted,550000000.0,82.0,5610.0,48492523.43394486,70215033.93660058,11803938.302702278,278763039.19353783,49690.38131792118,121.61798971099488,681721.6472886715,0.0849156746031746,,20603303.904057845,0.0617988016300046,0.0617988016300046,0.0617988016300046,0.0127349950396825,state,0.0001920561064837,323037.9984111931,323037.9984111931,323037.9984111931,data/shared_fee/shared_fee_state_tail.csv
3.5,"Proposal-faithful shared fee, 2x state cap",one-dimensional shared fee,G433.6,2x,433602688.0,64.0,1530.0,116678183.61153784,168944860.81147507,44848040.1117385,59377803.49067832,38809.02188933224,94.9856913882914,2888318.319249862,0.0234499007936507,,1266252.1123743658,0.0482055782266405,0.0482055782266405,0.0482055782266405,0.978492683531746,regular,3.5953433643070315e-06,149.8916756494585,149.8916756494585,149.8916756494585,data/shared_fee/shared_fee_state_tail.csv
3.5,"Floor- and state-growth-adjusted shared fee, 2x state cap",one-dimensional shared fee,G550.0,2x,550000000.0,82.0,5610.0,110908783.23831216,160591023.67714506,56892379.343354285,199409640.07980812,35545.39038855759,86.99790196598448,2598179.5524104033,0.0489440724206349,,10663197.500630442,0.0530911868845841,0.0530911868845841,0.0530911868845841,0.6449410962301587,regular,9.229114473400148e-05,48.369473475589906,48.369473475589906,48.369473475589906,data/shared_fee/shared_fee_state_tail.csv
4.0,EIP-7999 maximum throughput,EIP-7999,E300/D80,unrestricted,,,1530.0,186981385.295336,270740794.3393256,79804636.62156947,74997148.99141027,49017.74443883024,119.97170037147204,4987789.788848091,0.1779427083333333,19750436.36301321,8069644.640143665,0.0638061077636326,0.1108545893637992,0.1492115108685201,,separate targets,0.0002192631913657,1.0,19.725992946753767,1184471.0168652998,data/7999/slot_time_scenarios.csv
4.0,EIP-7999 balanced (historically anchored),EIP-7999,E225/D60,unrestricted,,,1530.0,154012701.09739277,223003594.5428057,59994222.43526598,74997298.1410238,49017.84192223778,119.97193896364503,3749638.902204129,0.048188244047619,2912019.350184892,1932809.7801752945,0.0665543259561047,0.0610035510600266,0.150046888154392,,separate targets,0.0002380673718055,11.01359492328596,73.05867635907964,1184470.6237254683,data/7999/slot_time_scenarios.csv
4.0,Proposal-faithful shared fee,one-dimensional shared fee,G500.0,unrestricted,500000000.0,64.0,1530.0,63942136.18715669,92585391.40524772,15121745.14202009,252204421.99293405,164839.49149864967,403.4472477235378,1190171.2696790346,0.0826866319444444,,18168710.93304833,0.0613030860981168,0.0613030860981168,0.0613030860981168,0.0372984871031746,state,1.927386473936777e-05,32513.150702776144,32513.150702776144,32513.150702776144,data/shared_fee/shared_fee_state_tail.csv
4.0,Floor- and state-growth-adjusted shared fee,one-dimensional shared fee,G500.0,unrestricted,500000000.0,64.0,5100.0,47931252.52850194,69402338.43464363,8773130.668686923,253345417.93991548,49675.57214508146,121.5817440275793,705842.5219630301,0.0847619047619047,,18687483.59037468,0.0617552999475066,0.0617552999475066,0.0617552999475066,0.0143446180555555,state,0.0001941946434034,355341.79825234425,355341.79825234425,355341.79825234425,data/shared_fee/shared_fee_state_tail.csv
4.0,"Proposal-faithful shared fee, 2x state cap",one-dimensional shared fee,G500.0,2x,500000000.0,64.0,1530.0,128796695.95601292,186491931.89115465,54001001.7382064,59548305.94897696,38920.461404560105,95.25844135431942,3420265.6046946887,0.0189360119047619,,1206547.1161571806,0.0455056712027058,0.0455056712027058,0.0455056712027058,0.9842813740079364,regular,1.689232518210514e-06,56.37358724831746,56.37358724831746,56.37358724831746,data/shared_fee/shared_fee_state_tail.csv
4.0,"Floor- and state-growth-adjusted shared fee, 2x state cap",one-dimensional shared fee,G500.0,2x,500000000.0,64.0,5100.0,108993689.73586564,157818052.79949605,42017407.38491888,181282921.02867457,35545.67078993619,86.9985882527682,2704027.841909331,0.0481442212301587,,9498981.122675603,0.0532037867937139,0.0532037867937139,0.0532037867937139,0.6509120783730158,regular,9.36883111731366e-05,56.37358724831746,56.37358724831746,56.37358724831746,data/shared_fee/shared_fee_state_tail.csv
4.5,EIP-7999 maximum throughput,EIP-7999,E300/D90,unrestricted,,,1530.0,188263705.6785365,272597537.6648542,89320219.90589333,74997187.06920451,49017.769326277456,119.97176128389049,5582513.7441183375,0.195250496031746,23697404.605654817,8691442.420321772,0.0705026749812953,0.1298937813211079,0.1494878080584473,,separate targets,0.0002222342820445,1.0,10.877583856316539,1184471.0820910083,data/7999/slot_time_scenarios.csv
4.5,EIP-7999 balanced (historically anchored),EIP-7999,E225/D60,unrestricted,,,1530.0,153986933.7391988,222966284.54526535,59994391.94669488,74997319.74456462,49017.8560421991,119.97197352247241,3749649.496668428,0.0452430555555555,2227491.9982890845,1244690.068189666,0.0683049491835668,0.0556966100680453,0.1501394471073438,,separate targets,0.000241184875483,11.01359492328596,73.05867635907964,1184470.6237254683,data/7999/slot_time_scenarios.csv
4.5,Proposal-faithful shared fee,one-dimensional shared fee,G450.0,unrestricted,450000000.0,64.0,1530.0,61514194.244159505,89069838.6179019,14046744.14228895,226603737.1126164,148107.01772066433,362.4942550155389,1111384.3405872297,0.0819580853174603,,16194789.137400769,0.0611808532705228,0.0611808532705228,0.0611808532705228,0.0460621279761904,state,2.4250393655915014e-05,44535.26644046533,44535.26644046533,44535.26644046533,data/shared_fee/shared_fee_state_tail.csv
