mechanism,benchmark,benchmark_label,propagation_time_s,shared_limit,shared_target,floor_rate,m_execution,m_data,cpsb,m_state,state_demand_cap_multiple,state_demand_cap_label,equilibrium_fee_wei,equilibrium_binding_branch,equilibrium_state_demand_cap_active,equilibrium_regular_gas,equilibrium_state_gas,equilibrium_execution_gas,equilibrium_data_gas,equilibrium_state_activity_multiple,equilibrium_annual_state_gib,n_replications,burn_in_blocks,measured_blocks,reference_cpsb,included_execution,included_execution_p05,included_execution_p95,included_data,included_data_p05,included_data_p95,included_state,included_state_p05,included_state_p95,included_execution_metered,included_execution_metered_p05,included_execution_metered_p95,included_data_metered,included_data_metered_p05,included_data_metered_p95,included_regular_metered,included_regular_metered_p05,included_regular_metered_p95,included_state_metered,included_state_metered_p05,included_state_metered_p95,included_state_bytes,included_state_bytes_p05,included_state_bytes_p95,runtime_bal_bytes,runtime_bal_bytes_p05,runtime_bal_bytes_p95,estimated_static_payload_bytes,estimated_static_payload_bytes_p05,estimated_static_payload_bytes_p95,estimated_counted_payload_bytes,estimated_counted_payload_bytes_p05,estimated_counted_payload_bytes_p95,annualized_state_growth_gib,annualized_state_growth_gib_p05,annualized_state_growth_gib_p95,shared_fee_wei,shared_fee_wei_p05,shared_fee_wei_p95,shared_limit_hit_fraction,shared_limit_hit_fraction_p05,shared_limit_hit_fraction_p95,shared_near_limit_fraction,shared_near_limit_fraction_p05,shared_near_limit_fraction_p95,shared_fee_floor_bounded_fraction,shared_fee_floor_bounded_fraction_p05,shared_fee_floor_bounded_fraction_p95,shared_target_deviation,shared_target_deviation_p05,shared_target_deviation_p95,shared_rationed_gas,shared_rationed_gas_p05,shared_rationed_gas_p95,shared_fee_log_return_sd,shared_fee_log_return_sd_p05,shared_fee_log_return_sd_p95,regular_binding_fraction,regular_binding_fraction_p05,regular_binding_fraction_p95,state_demand_cap_active_fraction,state_demand_cap_active_fraction_p05,state_demand_cap_active_fraction_p95,base_fee_exposure_proxy_eth_per_block,base_fee_exposure_proxy_eth_per_block_p05,base_fee_exposure_proxy_eth_per_block_p95
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.0,533959303.1674208,266979651.5837104,96,1.4479558695732846,4.032547620151323,5446.384892307692,20.134947696262085,1.5,1.5x,88.21956433978629,regular,True,266979651.58371067,158386171.00812414,180935178.45509204,86044473.12861863,1.5,71.17613830138775,32,7200,50400,1530.0,116202654.43449967,110660264.1025075,122592035.75876787,18103109.12762122,16508567.936371777,20618412.33726135,7563147.774504557,6772021.951316655,8272790.794839269,168256315.5484296,160231178.93575567,177507857.7398448,73001649.62992856,66571586.3439225,83144729.60192168,241257965.17835906,228445566.93783244,250346861.10835278,152283584.85874557,136354307.78769776,166572209.95619762,27960.488997725122,25035.745817428444,30583.995301444655,535009.3726502359,509577.39240417816,564321.8916729487,2044803.3888309535,1864694.9219089597,2328914.835696288,2579812.761481189,2390595.8002447165,2855116.4159184606,68.43373653108405,61.27538160253497,74.8548094669325,199103.9519338283,464.460415530759,605321.4856844331,0.0362171378968254,0.02628174603174603,0.046875,0.04072420634920635,0.03006646825396825,0.052314484126984126,0.0,0.0,0.0,0.3485514405317895,0.32624330807143564,0.3707873950007427,5870669.863827288,3513290.831434932,9078241.762947619,0.05106712579236439,0.04724438779605676,0.05486061058235059,0.8295901537698412,0.7612400793650793,0.8911656746031746,0.9831150793650794,0.9517301587301588,1.0,6.187906444362529e-05,1.7744289874533135e-07,0.00019118783420894858
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.0,533959303.1674208,266979651.5837104,96,1.4479558695732846,4.032547620151323,5446.384892307692,20.134947696262085,2.0,2x,88.21956433978629,regular,True,266979651.58371067,211181561.34416553,180935178.45509204,86044473.12861863,2.0,94.90151773518366,32,7200,50400,1530.0,105333905.49059632,96968832.98868342,113606354.4769034,15626742.783144552,14000716.631143635,18217243.2399612,9605872.773143776,8756653.758402333,10345544.812717,152518846.72018647,140406590.8916357,164496987.78565428,63015584.42088647,56458556.53133162,73461900.87302327,215534431.141072,196565901.5373291,231453941.85992673,193413745.86418575,176314765.41969654,208307003.6933775,35512.316828242794,32372.806716014165,38246.83855663304,492125.41617125616,456252.54889551114,527764.581436262,1765089.9839414705,1581425.1911978754,2057695.197527942,2257215.4001127263,2036740.417193252,2551271.386179247,86.91695390699624,79.23295353509972,93.60973884056472,298070.0774057128,44873.070589185176,783887.2283440946,0.0511005704365079,0.0373174603174603,0.0602430555555555,0.0557552083333333,0.0412440476190476,0.0652847222222222,0.0,0.0,0.0,0.3670111726790956,0.3428172377050931,0.3845842322687636,10508024.442068392,6386060.049900501,14534563.392848715,0.0542685028162612,0.0505320895574626,0.0570594294719824,0.6513839285714286,0.5526190476190476,0.7525962301587301,0.9261117311507936,0.8571587301587301,0.9800972222222222,9.49766018481156e-05,1.4421504448303256e-05,0.0002504684461395
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.0,533959303.1674208,266979651.5837104,96,1.4479558695732846,4.032547620151323,5446.384892307692,20.134947696262085,3.0,3x,332742.39829187415,state,False,79711167.87378341,266979651.5837189,66709707.264755495,13001460.609027913,2.528437140860214,119.97626108282137,32,7200,50400,1530.0,76008639.82005596,65868633.976144515,87485660.29425299,9268589.127962723,7572225.610275837,12364127.501499925,12229815.922136843,11600919.549941206,12725250.446770024,110057156.16573182,95374875.1865321,126675375.32655764,37376027.03012657,30535360.363967177,49858932.93142134,147433183.19585788,126799765.00327736,175123174.75766158,246246703.92712197,233583908.36659473,256222252.1675305,45212.87217047648,42887.88122493905,47044.462929788715,368788.8320447755,325636.76193843014,416621.0190825486,1046916.4343500972,855306.8138588385,1396567.2767464092,1415705.2663948727,1185561.0107927248,1796016.8871615017,110.65921565891446,104.96876375669596,115.14206284609132,482307.6005569756,165405.19289001563,965771.9047615788,0.074343998015873,0.0624166666666666,0.0852896825396825,0.0792875744047619,0.0672986111111111,0.0910674603174603,0.0,0.0,0.0,0.3936382528805949,0.3737556530433503,0.4147665445672766,17946635.750897106,13411748.059085889,22469806.84354747,0.0591613620587031,0.0564682133686837,0.0617505404466106,0.2735081845238095,0.1822251984126984,0.3932559523809524,0.6330053323412698,0.486985119047619,0.7543621031746032,0.0001573430016399,5.5472719150839275e-05,0.0003112562359745
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.0,533959303.1674208,266979651.5837104,96,1.4479558695732846,4.032547620151323,5446.384892307692,20.134947696262085,4.0,4x,332742.39829187415,state,False,79711167.87378341,266979651.5837189,66709707.264755495,13001460.609027913,2.528437140860214,119.97626108282137,32,7200,50400,1530.0,56733918.26063569,47741284.41362947,65202770.12536524,5266871.710888844,3687372.04141191,7430154.352217978,13174424.767205574,12901753.434177993,13387772.380494174,82148209.94937846,69127272.98768182,94410733.71546006,21238910.983387083,14869503.350207966,29962451.25039389,103387120.93276544,83503933.10718259,120688126.454151,265266353.61600628,259776130.58722952,269562096.6506946,48705.032578703795,47696.983544833456,49493.7654941383,285718.11539552617,244602.12743659315,323153.4079301358,594909.8051080769,416500.3256073476,839259.4162607685,880627.9205036031,660026.6739577021,1132432.4730176677,119.20633317607786,116.73911731301092,121.13676939028824,564646.5238736188,231162.1677840864,1067012.8028707188,0.082890625,0.0736289682539682,0.0922371031746031,0.0881150793650793,0.0785863095238095,0.0977738095238095,0.0,0.0,0.0,0.4024948059929969,0.3869122413373977,0.4229666393322054,20036807.087134555,15485556.126599276,25709737.026538342,0.0612107056433171,0.0589472216210927,0.0638207508926493,0.079946056547619,0.0303363095238095,0.1356964285714285,0.2893656994047619,0.1845089285714286,0.4327728174603174,0.0001851448979008,7.860674683845258e-05,0.000345588279376
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.0,533959303.1674208,266979651.5837104,96,1.4479558695732846,4.032547620151323,5446.384892307692,20.134947696262085,5.0,5x,332742.39829187415,state,False,79711167.87378341,266979651.5837189,66709707.264755495,13001460.609027913,2.528437140860214,119.97626108282137,32,7200,50400,1530.0,50023557.29571442,44589849.41901286,55838238.32857894,3918911.247888659,3070229.2376417904,4892748.570206164,13386978.614821335,13277807.811471997,13446905.500577496,72431903.40326509,64564134.18964832,80851304.93449764,15803196.226257604,12380845.605571397,19730241.60278367,88235099.62952259,76596821.54970959,99436731.9279454,269546114.220389,267347965.8049881,270752738.9306879,49490.83099159733,49087.23329167981,49712.37697744992,256527.48654827152,230923.0171193887,281905.3642433414,442653.41073284706,346792.0955102119,552651.4139933267,699180.8972811187,576635.1999469468,833720.4660765829,121.12958714917096,120.14177543160928,121.67182443359714,588328.7856767124,256332.33030302252,1115903.674068303,0.0844518849206349,0.0766299603174603,0.0942619047619047,0.0897947668650793,0.081938492063492,0.0998690476190476,0.0,0.0,0.0,0.4038319258783824,0.3873765493410512,0.4233271953080459,20051870.39865495,16226247.9006443,24987007.571083516,0.0616674631511364,0.059532014099134,0.063956944415455,0.0273115079365079,0.0122688492063492,0.0532440476190476,0.0877058531746031,0.0342946428571428,0.1616815476190476,0.0001930276244216,8.711957747104244e-05,0.0003512091730362
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.0,533959303.1674208,266979651.5837104,96,1.4479558695732846,4.032547620151323,5446.384892307692,20.134947696262085,inf,unrestricted,332742.39829187415,state,False,79711167.87378341,266979651.5837189,66709707.264755495,13001460.609027913,2.528437140860214,119.97626108282137,32,7200,50400,1530.0,48312205.62644121,44172849.2846086,52205842.90132447,3569644.9199835137,3027966.4353135563,4362001.085609305,13435288.47546886,13415496.219469784,13455226.828946814,69953941.708837,63960336.39742499,75591756.65499435,14394763.126864742,12210418.842621738,17589977.096871264,84348704.83570187,76236863.98058043,91885680.78628156,270518830.7377404,270120314.6984101,270920288.44216746,49669.429554971946,49596.25881011821,49743.140413158646,249068.4784434833,230197.4363701274,266490.37594391016,403202.675178516,342018.3784203442,492701.8082396232,652271.1536219993,571390.1331658032,765150.026005119,121.56670994168732,121.38762339296812,121.74711842628282,591620.779532741,259659.42625044344,1121383.8369909222,0.0847495039682539,0.0767936507936507,0.0939642857142857,0.0900669642857142,0.08225,0.0993492063492063,0.0,0.0,0.0,0.4038727905647605,0.3870786223216653,0.4233987342890762,19947482.3493288,15961379.819344098,24534418.90302957,0.0617536868232112,0.059644478668781,0.0639954444745486,0.0149348958333333,0.009578373015873,0.0211875,0.0,0.0,0.0,0.0001941706247305,8.835658017295017e-05,0.0003524178555838
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.5,550000000.0,275000000.0,82,1.4479558695732846,3.0874605142255307,5610.0,20.73982261803924,1.5,1.5x,48.369473475589906,regular,True,275000000.0000041,163144257.507495,194600965.86203477,80399034.13796934,1.4999999999999998,71.17613830138775,32,7200,50400,1530.0,122600741.32023391,116405332.50675158,128929256.290196,21391987.28560046,19409643.55179103,24641154.505104966,7568533.084977133,6775508.897984759,8280086.234781427,177520463.00866836,168549784.4527799,186683873.4051074,66046916.06510604,59926508.06134677,76078591.55944285,243567379.0737748,229494216.67115447,253636796.14021447,156970033.66118473,140522852.69114977,171727519.77143,27980.398157073934,25048.636843342207,30610.966091163988,563296.098560778,534157.4798526473,591190.111922835,2416292.570908913,2192380.5811978965,2783296.27698414,2979588.669469691,2736671.2190459403,3339834.4004913247,68.48246451168349,61.306932591184335,74.9208208989156,188977.998885696,310.8903693091516,577224.218715029,0.033079737103174606,0.022740079365079366,0.04432142857142857,0.03717633928571429,0.02617857142857143,0.04942063492063492,0.0,0.0,0.0,0.345956494205948,0.32296584274955953,0.3683785386369522,5724819.056471892,3280842.2661036793,8980418.619568158,0.049490164826060466,0.045500788214563305,0.05349061470934602,0.8256268601190476,0.7574503968253968,0.8869513888888889,0.9838895089285714,0.9547063492063492,1.0,6.0052490577749295e-05,1.2118553719333627e-07,0.0001864284473910313
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.5,550000000.0,275000000.0,82,1.4479558695732846,3.0874605142255307,5610.0,20.73982261803924,2.0,2x,48.369473475589906,regular,True,275000000.0000041,217525676.67666,194600965.86203477,80399034.13796934,2.0,94.90151773518367,32,7200,50400,1530.0,110908783.23831216,101930185.7283426,119491342.60889544,18426917.22897234,16383316.01557593,21722694.460226916,9614818.97662768,8763478.56670846,10355778.357282825,160591023.67714506,147590410.71204832,173018190.89374283,56892379.343354285,50582841.29016955,67067961.40853654,217483403.0204993,198138291.65103775,233743344.7292536,199409640.07980812,181752990.99051636,214777006.2017665,35545.39038855759,32398.03760971771,38284.67133721327,516801.015172294,477840.0164956736,553838.8221166895,2081378.537238109,1850547.3216102817,2453646.9914462734,2598179.5524104033,2340379.6017773775,2974633.341817664,86.99790196598448,79.29470654422245,93.70233516599654,283589.3148703951,42404.28884251171,752339.3621899359,0.0489440724206349,0.0347748015873015,0.0579930555555555,0.0533116319444444,0.0383501984126984,0.0627291666666666,0.0,0.0,0.0,0.3654650314419824,0.3409104156724252,0.383328257168268,10663197.500630442,6344630.229325848,14936355.171162656,0.0530911868845841,0.0490360428588417,0.0560403644438234,0.6449410962301587,0.5436230158730159,0.7483888888888889,0.928195064484127,0.8598561507936509,0.981217261904762,9.229114473400148e-05,1.3888335031665188e-05,0.0002456591177147
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.5,550000000.0,275000000.0,82,1.4479558695732846,3.0874605142255307,5610.0,20.73982261803924,3.0,3x,323037.9984111931,state,False,77604972.67226711,275000000.00002396,66949369.28391947,10655603.388347628,2.5284371408603534,119.97626108282796,32,7200,50400,1530.0,78924958.27332015,67967085.28238021,91395198.09783375,10734314.18340546,8651704.074611379,14499419.994749974,12244035.0074597,11616667.998767484,12738150.740807831,114279856.58768044,98413340.07241,132336213.53657284,33141771.188555382,26711794.711126707,44766386.71296279,147421627.77623555,126044611.7821451,176255128.89726612,253939114.183758,240927633.70707536,264186986.84617612,45265.43924844172,42946.102265075824,47092.15451803496,381728.1417142565,334988.8752325247,433924.3975288432,1212474.7116236305,977237.3179773538,1637755.3122138137,1594202.853337887,1318855.4288533605,2054516.1858875751,110.78787440890896,105.11126066802,115.2587887583262,464026.191810046,158135.74813240912,930989.996200904,0.0740252976190476,0.0619811507936508,0.0853343253968254,0.0788547867063492,0.0667857142857142,0.0908710317460317,0.0,0.0,0.0,0.3937085814719074,0.3737966003968788,0.415115861456299,18617472.028631896,13931658.820272004,23325977.45016049,0.0587116878375924,0.055880022957825,0.0613637315681904,0.2656088789682539,0.1739027777777777,0.3856329365079365,0.6371453373015874,0.4905922619047619,0.7588888888888888,0.0001544969526981,5.403305397809288e-05,0.0003064995054193
shared_fee_8131_8279,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",3.5,550000000.0,275000000.0,82,1.4479558695732846,3.0874605142255307,5610.0,20.73982261803924,4.0,4x,323037.9984111931,state,False,77604972.67226711,275000000.00002396,66949369.28391947,10655603.388347628,2.5284371408603534,119.97626108282796,32,7200,50400,1530.0,57776161.129901715,48203020.709292606,66909730.861636825,5885657.709581524,4033084.0260051503,8473596.121322831,13185172.68522739,12916203.89940703,13394327.332331168,83657331.629453,69795846.76718323,96882337.53267512,18171735.778580077,12451987.6808446,26161893.438079357,101829067.4080329,81814978.75602086,119651321.52734986,273458142.679809,267879777.7721096,277795972.9604779,48744.76696609785,47750.406019983886,49517.99874518323,290351.9523394424,246634.94016441636,330751.40298753657,664803.6392648509,455549.58685149177,957119.4617630038,955155.5916042932,701208.7650708762,1257150.5286778647,119.30358371409136,116.8698696610682,121.19608065331497,546333.598704428,223327.02358578212,1032706.029896448,0.0830834573412698,0.0736964285714285,0.0923888888888888,0.0882874503968254,0.0786061507936507,0.0980575396825396,0.0,0.0,0.0,0.4029235587393429,0.3875644306184195,0.4233753703035597,20780621.394459058,16024565.893575298,26789435.51447708,0.0611426918004014,0.0588593528734255,0.0638431898890934,0.0752213541666666,0.0273690476190476,0.1296180555555555,0.292328869047619,0.1867529761904762,0.4389255952380952,0.0001827898418295,7.716161797444454e-05,0.000341613889197
