benchmark,propagation_time_s,state_demand_cap_label,state_demand_cap_multiple,replication,included_execution,included_data,included_state,included_execution_metered,included_data_metered,included_regular_metered,included_state_metered,included_state_bytes,runtime_bal_bytes,estimated_static_payload_bytes,estimated_counted_payload_bytes,annualized_state_growth_gib,shared_fee_wei,shared_limit_hit_fraction,shared_near_limit_fraction,shared_fee_floor_bounded_fraction,shared_target_deviation,shared_rationed_gas,shared_fee_log_return_sd,regular_binding_fraction,state_demand_cap_active_fraction,base_fee_exposure_proxy_eth_per_block
fully_optimized,3.0,1.5x,1.5,0,120963370.71924639,16981468.760310728,7484173.948614749,175149622.63630182,68478581.43606429,243628204.0723694,150693451.0050843,27668.52765362197,558343.2718266315,1918110.564523405,2476453.8363500363,67.71915654998136,13246.715179403443,0.030376984126984127,0.034305555555555554,0.0,0.32904777994467954,6415180.702482368,0.047731391765045844,0.844563492063492,0.9978174603174603,4.5643405346096184e-06
fully_optimized,3.0,1.5x,1.5,1,118100979.32134505,19501992.050787788,7331827.137518732,171005006.21069422,78642711.63261402,249647717.84331036,147625955.93197092,27105.310926606257,542619.0313140313,2202811.6360167568,2745430.667330788,66.34067475341377,105333.78323499314,0.03619047619047619,0.0406547619047619,0.0,0.34879054415729166,6106388.369460754,0.05114050399581671,0.8636706349206349,0.9843650793650793,3.6211840606348495e-05
fully_optimized,3.0,1.5x,1.5,2,124842507.9800609,16626695.478756031,7002959.84159891,180766442.201982,67047941.28383824,247814383.48581907,141004230.12961626,25889.508897684835,571271.1635917904,1878037.8011502414,2449308.964742032,63.36498016781709,111432.12351284156,0.02734126984126984,0.03125,0.0,0.33326491265645813,3522412.454334063,0.04880649699205283,0.8733333333333333,0.9765674603174603,3.650717195752958e-05
fully_optimized,3.0,1.5x,1.5,3,115517777.27725899,17136573.673586715,8335142.304733043,167264643.64866573,69104049.3849689,236368693.03363582,167827654.3466921,30814.504972596915,535972.3081171789,1935630.1546697824,2471602.4627869613,75.41898551209336,1532252.1307495867,0.03642857142857143,0.04113095238095238,0.0,0.34676808257547426,7041355.859796071,0.05218829414864321,0.7725,0.9779761904761904,0.0004531204605659246
fully_optimized,3.0,1.5x,1.5,4,111443722.89372693,16760552.995438773,7952995.840308725,161365592.6910733,67587728.09417653,228953320.7852486,160133155.2732014,29401.733156863113,513743.16215143015,1893157.4307013743,2406900.5928528043,71.9612042757089,142422.50065568686,0.04027777777777778,0.04486111111111111,0.0,0.3630344354285719,5411808.056923384,0.051900751411083856,0.7959920634920635,0.9696230158730159,4.674529360189833e-05
fully_optimized,3.0,1.5x,1.5,5,117548319.62181649,17279838.971686587,7199696.037027134,170204779.3548853,69681773.52187286,239886552.87675935,144965503.1345277,26616.830429900863,538967.976796402,1951812.4228642287,2490780.3996606306,65.14511105583931,108853.0487509327,0.044087301587301585,0.04880952380952381,0.0,0.3690990701716888,6569679.345361549,0.05411738164483819,0.8385714285714285,0.9725396825396826,3.645134480952224e-05
fully_optimized,3.0,1.5x,1.5,6,118948819.84491903,18640070.834349766,6582744.261223588,172232641.87326565,75166973.28250833,247399615.15577632,132543211.39760289,24335.9979175917,547347.7862239041,2105454.9106137897,2652802.696837694,59.56273761338646,376.4750603713293,0.03775793650793651,0.04162698412698413,0.0,0.34436233597387494,7281678.351927889,0.0500319400011889,0.8926388888888889,1.0,1.4360858827649298e-07
fully_optimized,3.0,1.5x,1.5,7,114745266.26979165,22463507.67651624,6487428.477738724,166146081.80109176,90585164.4211866,256731246.22227967,130624033.08250883,23983.621368184653,526840.7486608236,2537324.1854840587,3064164.9341448825,58.70029046720757,536.4484333884742,0.028630952380952382,0.03275793650793651,0.0,0.32566019462556495,3645918.201234779,0.04827233557655064,0.9161706349206349,1.0,2.0512551640165368e-07
fully_optimized,3.0,1.5x,1.5,8,117354868.97522119,17473130.50726284,7842007.308724769,169924671.3556724,70461230.84365699,240385902.19933343,157898406.9948703,28991.415428219403,544334.6232053903,1973645.3126840007,2517979.935889391,70.9569451821601,120296.81710404076,0.035793650793650794,0.040357142857142855,0.0,0.33835088484384285,5779261.525758069,0.05023897568575682,0.7959325396825396,0.971547619047619,4.206676805630994e-05
fully_optimized,3.0,1.5x,1.5,9,114881475.73173817,18400563.307661213,7514380.413793567,166343307.09101143,74201147.77575292,240544454.86676332,151301656.60154498,27780.199084945103,530912.8539571944,2078401.7785373756,2609314.6324945698,67.99247413429966,516031.6983935727,0.04103174603174603,0.04513888888888889,0.0,0.3416017095016665,8077246.83989851,0.051536368934193735,0.8173214285714285,0.9577380952380953,0.00015967784322797954
