propagation_time_s,mechanism,configuration,execution_limit,data_limit,shared_limit,included_execution,included_data,included_state_gas,limit_hit_fraction,execution_price_variation,data_price_variation,state_price_variation,base_fee_exposure_proxy_eth_per_block,equilibrium_execution_base_fee_wei,equilibrium_data_base_fee_wei,equilibrium_state_base_fee_wei,source_file
3.0,EIP-7999: maximum throughput,E300/D60,600000000.0,89908576.0,,265652332.6930628,59992337.22564409,74997150.59973417,0.1961278521825397,0.0525695813194538,0.0714448103825992,0.1484954960341055,0.0002108537952288,1.0,83.64686628826547,1184470.545675032,data/7999/slot_time_scenarios.csv
3.0,EIP-7999: balanced,E200/D36,600000000.0,89908576.0,,196183310.3162821,35998028.57030673,74997323.14854227,0.0167838541666666,0.0414294009857366,0.046078346070455,0.1501324770982091,0.0002425393659751,10.844102681587225,1058.879582523428,1184463.3567844464,data/7999/slot_time_scenarios.csv
3.0,One-dimensional shared fee,G534.0,,,533959303.1674208,120243469.21987703,,268830037.22585773,0.0821633184523809,0.0611975287208382,,0.0611975287208382,1.7102910412216155e-05,26719.968495497193,26719.968495497193,26719.968495497193,data/shared_fee/shared_fee_8279_slot_scenarios.csv
3.5,EIP-7999: maximum throughput,E300/D67.5,550000000.0,108400672.0,,275481109.2147563,67473665.98069337,74997133.39799286,0.1594252232142857,0.0658296648198647,0.0813715346026414,0.1491344408407017,0.0002204290225039,1.0,46.31508365389991,1184470.820864837,data/7999/slot_time_scenarios.csv
3.5,EIP-7999: balanced,E250/D52.5,550000000.0,108400672.0,,243025041.2945569,52497604.48999944,74997293.4662267,0.0505908978174603,0.0625059963832037,0.0559459641031336,0.1499887888267063,0.0002378862577206,2.0520121015738257,160.67211368344962,1184469.9778863734,data/7999/slot_time_scenarios.csv
3.5,One-dimensional shared fee,G550.0,,,550000000.0,117067421.00965336,,277431671.91935235,0.0828162202380952,0.0613144528923844,,0.0613144528923844,1.5859479844256684e-05,24459.55889629373,24459.55889629373,24459.55889629373,data/shared_fee/shared_fee_8279_slot_scenarios.csv
4.0,EIP-7999: maximum throughput,E300/D80,500000000.0,126892784.0,,280700078.9566488,79801107.03376561,74997154.75475186,0.183687996031746,0.0838822668279088,0.1117025941654299,0.1492452339403145,0.0002192430033656,1.2053387962944468,19.44596193864634,1184471.0189295376,data/7999/slot_time_scenarios.csv
4.0,EIP-7999: balanced,E250/D52.5,500000000.0,126892784.0,,242918270.24025956,52497137.662285715,74997319.43386929,0.041703869047619,0.0616901147957876,0.0503952337811557,0.1501287129585274,0.0002415023457429,2.0520121015738257,160.67211368344962,1184469.9778863734,data/7999/slot_time_scenarios.csv
4.0,One-dimensional shared fee,G500.0,,,500000000.0,107707136.54726765,,252204421.99293405,0.0826866319444444,0.0613030860981168,,0.0613030860981168,1.927386473936777e-05,32513.150702776144,32513.150702776144,32513.150702776144,data/shared_fee/shared_fee_8279_slot_scenarios.csv
4.5,EIP-7999: maximum throughput,E300/D90,450000000.0,145384880.0,,281679132.3070799,89307121.59921938,74997199.724513,0.2066083829365079,0.0925793061278656,0.1307816860743997,0.1495237263285734,0.0002220953840221,1.6194862288678429,10.478177119083261,1184471.0850352196,data/7999/slot_time_scenarios.csv
4.5,EIP-7999: balanced,E225/D60,450000000.0,145384880.0,,223854176.9714245,59993919.18126997,74997319.16728546,0.0462338789682539,0.0623390573954433,0.0565964522295577,0.1501391301576927,0.0002410861721644,19.415333395975857,68.9613556818982,1184470.6539287106,data/7999/slot_time_scenarios.csv
4.5,One-dimensional shared fee,G450.0,,,450000000.0,103116582.7601907,,226603737.1126164,0.0819580853174603,0.0611808532705228,,0.0611808532705228,2.4250393655915014e-05,44535.26644046533,44535.26644046533,44535.26644046533,data/shared_fee/shared_fee_8279_slot_scenarios.csv
5.0,EIP-7999: maximum throughput,E300/D90,400000000.0,163876976.0,,280032112.896861,89411581.22459719,74997236.20825922,0.2407446676587301,0.0813911561498234,0.12230181096498,0.1499797953647922,0.0002322418070677,1.6194862288678429,10.478177119083261,1184471.0850352196,data/7999/slot_time_scenarios.csv
5.0,EIP-7999: balanced,E200/D67.5,400000000.0,163876976.0,,199852433.80860904,67477290.45404133,74997320.09450379,0.0484430803571428,0.0528286546937058,0.0695871572753461,0.1501512975835149,0.0002407462016866,58.17609918850189,33.9712374038486,1184470.9118570264,data/7999/slot_time_scenarios.csv
5.0,One-dimensional shared fee,G400.0,,,400000000.0,98205622.54803948,,200923928.824409,0.0809629216269841,0.0610123337787406,,0.0610123337787406,3.1425168584055486e-05,63308.22922671631,63308.22922671631,63308.22922671631,data/shared_fee/shared_fee_8279_slot_scenarios.csv
